Date,0050,006208,00692,00881,TAIEX,SP500,NASDAQ,SOXX,USD_TWD,VIX,NIKKEI225,HANGSENG,KOSPI,US10Y
2021-01-01,,,,,,,,,0.0,,,,,
2021-01-04,24563188.0,1034794.0,1955774.0,43790332.0,6487600.0,5015000000.0,6636170000.0,2487600.0,0.0,0.0,51500000.0,2870400000.0,1026500.0,0.0
2021-01-05,18926280.0,1943317.0,3451962.0,40946298.0,6302200.0,4591020000.0,6971860000.0,1670700.0,0.0,0.0,55000000.0,3282500000.0,1519900.0,0.0
2021-01-06,42348292.0,2741899.0,4181877.0,67198727.0,7787000.0,6064110000.0,7689880000.0,3215100.0,0.0,0.0,72700000.0,3079400000.0,1793400.0,0.0
2021-01-07,26764652.0,1632982.0,3132030.0,34794739.0,5878900.0,5099160000.0,6841480000.0,1809000.0,0.0,0.0,98900000.0,3775100000.0,1524700.0,0.0
2021-01-08,51960980.0,1816213.0,3897943.0,46352000.0,6192800.0,4773040000.0,7289390000.0,2119800.0,0.0,0.0,84900000.0,5667300000.0,1297900.0,0.0
2021-01-11,40583424.0,2637910.0,2943841.0,83698316.0,5319100.0,4465430000.0,6960470000.0,1627500.0,0.0,0.0,,4366100000.0,1712500.0,0.0
2021-01-12,43497448.0,2211531.0,4267086.0,122820942.0,6399400.0,4994950000.0,7264070000.0,4503900.0,0.0,0.0,78800000.0,3399600000.0,1388600.0,0.0
2021-01-13,42755604.0,2130897.0,3200787.0,59819918.0,5900400.0,4602510000.0,7104810000.0,1200000.0,0.0,0.0,70900000.0,3559400000.0,1578000.0,0.0
2021-01-14,48001796.0,2327883.0,3011935.0,67147249.0,5571500.0,5198480000.0,6734100000.0,1748400.0,0.0,0.0,81900000.0,3205600000.0,1233200.0,0.0
2021-01-15,86095908.0,2661907.0,3335752.0,96842640.0,6418300.0,5369820000.0,6458360000.0,2403900.0,0.0,0.0,74100000.0,4485400000.0,1331100.0,0.0
2021-01-18,56811080.0,2731046.0,4874789.0,63749919.0,5431000.0,,,,0.0,,51900000.0,2956400000.0,1472000.0,
2021-01-19,48277244.0,2159333.0,2751641.0,86521418.0,5516500.0,5014440000.0,6297860000.0,2517000.0,0.0,0.0,58200000.0,4568200000.0,1353300.0,0.0
2021-01-20,119861744.0,2744566.0,4433923.0,106594905.0,7303000.0,4566190000.0,6820990000.0,1851000.0,0.0,0.0,69800000.0,3937800000.0,1192700.0,0.0
2021-01-21,54689548.0,2749854.0,4311854.0,120833954.0,5268500.0,4501760000.0,7258640000.0,2540400.0,0.0,0.0,67700000.0,3004900000.0,1360100.0,0.0
2021-01-22,95071252.0,2530331.0,4166368.0,213223949.0,5023800.0,5110890000.0,5972750000.0,1668300.0,0.0,0.0,66900000.0,3381700000.0,1111200.0,0.0
2021-01-25,55002504.0,2904901.0,3686279.0,266638801.0,4667900.0,7000840000.0,7193710000.0,1683300.0,0.0,0.0,57300000.0,3066500000.0,1093700.0,0.0
2021-01-26,57505908.0,3990137.0,4989557.0,174036981.0,4526600.0,6137500000.0,6849600000.0,1224900.0,0.0,0.0,63500000.0,4810700000.0,873000.0,0.0
2021-01-27,31419364.0,2400852.0,3045853.0,80533204.0,4293000.0,9976520000.0,11621190000.0,5391300.0,0.0,0.0,69000000.0,3809000000.0,924600.0,0.0
2021-01-28,58015204.0,3043928.0,3873320.0,112706529.0,5142300.0,6992770000.0,9959270000.0,3369900.0,0.0,0.0,123900000.0,2993500000.0,1310500.0,0.0
2021-01-29,56158664.0,2404804.0,3501560.0,125538221.0,5546700.0,6643370000.0,7872250000.0,2761800.0,0.0,0.0,91700000.0,3196800000.0,995100.0,0.0
2021-02-01,56531932.0,2482464.0,3884180.0,82038720.0,4413200.0,5436230000.0,7092520000.0,1923300.0,0.0,0.0,65700000.0,2464300000.0,969300.0,0.0
2021-02-02,43553492.0,2279181.0,3768480.0,88976971.0,4965800.0,5514090000.0,7325270000.0,2429400.0,0.0,0.0,67500000.0,2739200000.0,887300.0,0.0
2021-02-03,28327880.0,1944768.0,2602792.0,51708653.0,5015900.0,4864870000.0,7546940000.0,2767800.0,0.0,0.0,84000000.0,2681400000.0,901800.0,0.0
2021-02-04,26233916.0,1796820.0,1748974.0,50956851.0,4217800.0,4879240000.0,7295370000.0,1832400.0,0.0,0.0,81100000.0,3032200000.0,1460900.0,0.0
2021-02-05,35199004.0,2047257.0,4050399.0,64809742.0,4311100.0,4879470000.0,6792910000.0,1462800.0,0.0,0.0,93200000.0,2675300000.0,1193500.0,0.0
2021-02-08,,,,,,4648360000.0,8564530000.0,1947300.0,0.0,0.0,93600000.0,2196700000.0,1277200.0,0.0
2021-02-09,,,,,,4568320000.0,8766770000.0,1383300.0,0.0,0.0,86900000.0,1851000000.0,2145400.0,0.0
2021-02-10,,,,,,4837070000.0,10785930000.0,2220300.0,0.0,0.0,81100000.0,1998300000.0,2152900.0,0.0
2021-02-11,,,,,,4590960000.0,10916780000.0,2112600.0,0.0,0.0,,1192100000.0,,0.0
2021-02-12,,,,,,4135060000.0,7416940000.0,1925100.0,0.0,0.0,79800000.0,,,0.0
2021-02-15,,,,,,,,,0.0,,70300000.0,,1604700.0,
2021-02-16,,,,,,5058990000.0,7722100000.0,3152400.0,0.0,0.0,81300000.0,3269700000.0,1944400.0,0.0
2021-02-17,75622784.0,4420471.0,6108658.0,88822214.0,5847800.0,4730650000.0,7280500000.0,2785200.0,0.0,0.0,74800000.0,3144000000.0,1784100.0,0.0
2021-02-18,41912192.0,2164908.0,4052870.0,57059617.0,5808600.0,4793650000.0,6499420000.0,2247600.0,0.0,0.0,77900000.0,3687600000.0,1860600.0,0.0
2021-02-19,35106384.0,2376910.0,2609448.0,67416857.0,5567600.0,4845320000.0,6737820000.0,2254500.0,0.0,0.0,63700000.0,3317200000.0,3455500.0,0.0
2021-02-22,27254544.0,2513442.0,3875776.0,52125054.0,6377000.0,5917100000.0,6483740000.0,2652000.0,0.0,0.0,62800000.0,4449900000.0,1832000.0,0.0
2021-02-23,30629724.0,2159912.0,2292428.0,58276338.0,6508000.0,6296610000.0,7516510000.0,4029300.0,0.0,0.0,,4605700000.0,2357800.0,0.0
2021-02-24,41942244.0,2400157.0,4005694.0,73612309.0,6503200.0,6012790000.0,5886230000.0,3144900.0,0.0,0.0,79300000.0,4846300000.0,1560900.0,0.0
2021-02-25,40729192.0,1746852.0,1957868.0,39464386.0,6958100.0,6547470000.0,6390380000.0,5339700.0,0.0,0.0,70100000.0,3663900000.0,1280100.0,0.0
2021-02-26,105334836.0,5251221.0,6412598.0,137306439.0,7625000.0,6526070000.0,5906110000.0,4558800.0,0.0,0.0,92900000.0,4126400000.0,1361300.0,0.0
2021-03-01,,,,,,5114820000.0,5079530000.0,2316600.0,0.0,0.0,62700000.0,2629100000.0,,0.0
2021-03-02,28506280.0,2876578.0,5669656.0,69812488.0,6314300.0,5536010000.0,4948140000.0,3177600.0,0.0,0.0,70100000.0,2895800000.0,1749900.0,0.0
2021-03-03,33512376.0,1575818.0,2888656.0,36300884.0,5473300.0,6173660000.0,5529980000.0,4425900.0,0.0,0.0,68800000.0,3228600000.0,2236700.0,0.0
2021-03-04,66353052.0,4165390.0,4931884.0,93024967.0,5822900.0,7195400000.0,7864380000.0,7243500.0,0.0,0.0,75200000.0,2957900000.0,1279000.0,0.0
2021-03-05,56613844.0,2675045.0,3140696.0,73215007.0,4705600.0,6851070000.0,7725200000.0,6307800.0,0.0,0.0,85800000.0,3996700000.0,1187200.0,0.0
2021-03-08,48210408.0,3115303.0,3516558.0,65542463.0,4746800.0,5871710000.0,6010230000.0,7349100.0,0.0,0.0,92400000.0,4906900000.0,1928300.0,0.0
2021-03-09,53095728.0,2204339.0,2761375.0,75703850.0,5441900.0,5513560000.0,6345560000.0,4132800.0,0.0,0.0,96700000.0,4377900000.0,1534200.0,0.0
2021-03-10,21353912.0,1454868.0,3073922.0,35742630.0,4340600.0,5847380000.0,6023880000.0,4082400.0,0.0,0.0,83000000.0,2842800000.0,905600.0,0.0
2021-03-11,36663172.0,1555905.0,2229053.0,41149086.0,5113400.0,5312880000.0,6008850000.0,3689400.0,0.0,0.0,78500000.0,3604300000.0,1349200.0,0.0
2021-03-12,22112176.0,1446367.0,2580982.0,29249268.0,4907000.0,4476280000.0,5497210000.0,3153600.0,0.0,0.0,96600000.0,3557200000.0,1669100.0,0.0
2021-03-15,14718124.0,1224210.0,2959850.0,22115208.0,4681700.0,4900100000.0,5972370000.0,3894900.0,0.0,0.0,94100000.0,3096700000.0,1161800.0,0.0
2021-03-16,26876500.0,2096413.0,4009918.0,25966139.0,5049000.0,4613080000.0,5493890000.0,6785100.0,0.0,0.0,83800000.0,2351600000.0,1123900.0,0.0
2021-03-17,26582624.0,1596705.0,2406267.0,31388367.0,4911400.0,4561660000.0,5536110000.0,5773800.0,0.0,0.0,74600000.0,1901300000.0,815000.0,0.0
2021-03-18,27618816.0,2124821.0,2175185.0,43499233.0,5694800.0,5118590000.0,5739720000.0,6042900.0,0.0,0.0,95400000.0,2113700000.0,1232600.0,0.0
2021-03-19,39701288.0,3084075.0,4372076.0,47567281.0,6753400.0,7757420000.0,7630590000.0,6614100.0,0.0,0.0,128500000.0,3814400000.0,1068500.0,0.0
