target_col,selected_model,sample,bin,conf_low,conf_high,n_obs,mean_confidence,accuracy
TAIEX_regime_fixed_20d,E1_validation_weighted_probability_ensemble,pooled_test_folds,1,0.0,0.1,0,,
TAIEX_regime_fixed_20d,E1_validation_weighted_probability_ensemble,pooled_test_folds,2,0.1,0.2,0,,
TAIEX_regime_fixed_20d,E1_validation_weighted_probability_ensemble,pooled_test_folds,3,0.2,0.3,4,0.2956,0.5
TAIEX_regime_fixed_20d,E1_validation_weighted_probability_ensemble,pooled_test_folds,4,0.3,0.4,132,0.37,0.3939
TAIEX_regime_fixed_20d,E1_validation_weighted_probability_ensemble,pooled_test_folds,5,0.4,0.5,237,0.4439,0.3882
TAIEX_regime_fixed_20d,E1_validation_weighted_probability_ensemble,pooled_test_folds,6,0.5,0.6,135,0.5218,0.3185
TAIEX_regime_fixed_20d,E1_validation_weighted_probability_ensemble,pooled_test_folds,7,0.6,0.7,0,,
TAIEX_regime_fixed_20d,E1_validation_weighted_probability_ensemble,pooled_test_folds,8,0.7,0.8,0,,
TAIEX_regime_fixed_20d,E1_validation_weighted_probability_ensemble,pooled_test_folds,9,0.8,0.9,0,,
TAIEX_regime_fixed_20d,E1_validation_weighted_probability_ensemble,pooled_test_folds,10,0.9,1.0,0,,
TAIEX_regime_fixed_60d,E1_validation_weighted_probability_ensemble,pooled_test_folds,1,0.0,0.1,0,,
TAIEX_regime_fixed_60d,E1_validation_weighted_probability_ensemble,pooled_test_folds,2,0.1,0.2,0,,
TAIEX_regime_fixed_60d,E1_validation_weighted_probability_ensemble,pooled_test_folds,3,0.2,0.3,22,0.2806,0.0909
TAIEX_regime_fixed_60d,E1_validation_weighted_probability_ensemble,pooled_test_folds,4,0.3,0.4,153,0.3469,0.0915
TAIEX_regime_fixed_60d,E1_validation_weighted_probability_ensemble,pooled_test_folds,5,0.4,0.5,208,0.4419,0.1154
TAIEX_regime_fixed_60d,E1_validation_weighted_probability_ensemble,pooled_test_folds,6,0.5,0.6,5,0.5115,0.0
TAIEX_regime_fixed_60d,E1_validation_weighted_probability_ensemble,pooled_test_folds,7,0.6,0.7,0,,
TAIEX_regime_fixed_60d,E1_validation_weighted_probability_ensemble,pooled_test_folds,8,0.7,0.8,0,,
TAIEX_regime_fixed_60d,E1_validation_weighted_probability_ensemble,pooled_test_folds,9,0.8,0.9,0,,
TAIEX_regime_fixed_60d,E1_validation_weighted_probability_ensemble,pooled_test_folds,10,0.9,1.0,0,,
