condition,strategy,policy_name,n_days,start_date,end_date,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,worst_daily_return,positive_day_rate
Full strict-test period,AURORA10-UAMV-B,AURORA10_UAMV_B_more60_defensive,319,2024-11-27,2026-03-25,0.3815,0.2909,0.116,2.2607,3.2891,-0.1168,2.4905,-0.04,0.558
Full strict-test period,ROMA-P4,ROMA_P4_balanced_regime_blend,319,2024-11-27,2026-03-25,0.524,0.395,0.2104,1.6886,2.1692,-0.2416,1.6345,-0.0854,0.5611
Full strict-test period,ROMA-B12,ROMA_B12_ma_timing_equal_weight,319,2024-11-27,2026-03-25,0.6522,0.4869,0.1791,2.3053,2.9146,-0.0943,5.1625,-0.0452,0.4326
Full strict-test period,ROMA-B6,ROMA_B6_00881_only,319,2024-11-27,2026-03-25,0.7459,0.5531,0.2696,1.7693,2.243,-0.3,1.8435,-0.1,0.5549
Negative market days,AURORA10-UAMV-B,AURORA10_UAMV_B_more60_defensive,142,2024-11-27,2026-03-25,0.1279,0.2381,0.1256,1.7637,2.9338,-0.0627,3.7974,-0.0184,0.5352
Negative market days,ROMA-P4,ROMA_P4_balanced_regime_blend,142,2024-11-27,2026-03-25,0.1647,0.3106,0.2313,1.2841,1.9512,-0.1301,2.3879,-0.0405,0.5352
Negative market days,ROMA-B12,ROMA_B12_ma_timing_equal_weight,142,2024-11-27,2026-03-25,0.1925,0.3667,0.1907,1.7345,2.0332,-0.0833,4.405,-0.0452,0.4014
Negative market days,ROMA-B6,ROMA_B6_00881_only,142,2024-11-27,2026-03-25,0.1552,0.2918,0.3046,0.9917,1.3982,-0.1818,1.6056,-0.0586,0.5352
Positive market days,AURORA10-UAMV-B,AURORA10_UAMV_B_more60_defensive,177,2024-12-03,2026-03-19,0.2249,0.3348,0.108,2.7305,3.5386,-0.0774,4.3248,-0.04,0.5763
Positive market days,ROMA-P4,ROMA_P4_balanced_regime_blend,177,2024-12-03,2026-03-19,0.3086,0.4665,0.1925,2.0872,2.3148,-0.1563,2.9845,-0.0854,0.5819
Positive market days,ROMA-B12,ROMA_B12_ma_timing_equal_weight,177,2024-12-03,2026-03-19,0.3855,0.5908,0.1698,2.8212,3.9173,-0.1076,5.4917,-0.043,0.4576
Positive market days,ROMA-B6,ROMA_B6_00881_only,177,2024-12-03,2026-03-19,0.5113,0.8003,0.2384,2.5896,2.9672,-0.1617,4.9502,-0.1,0.5706
High-volatility days,AURORA10-UAMV-B,AURORA10_UAMV_B_more60_defensive,159,2024-12-04,2026-03-25,0.1075,0.1757,0.1255,1.3521,1.7878,-0.0895,1.9638,-0.04,0.5283
High-volatility days,ROMA-P4,ROMA_P4_balanced_regime_blend,159,2024-12-04,2026-03-25,0.1239,0.2033,0.2528,0.8586,1.0574,-0.1882,1.0803,-0.0854,0.5283
High-volatility days,ROMA-B12,ROMA_B12_ma_timing_equal_weight,159,2024-12-04,2026-03-25,0.1459,0.2409,0.1955,1.202,1.3729,-0.0943,2.554,-0.0452,0.3774
High-volatility days,ROMA-B6,ROMA_B6_00881_only,159,2024-12-04,2026-03-25,0.2251,0.3796,0.3259,1.1509,1.4109,-0.2338,1.6235,-0.1,0.5409
Low-volatility days,AURORA10-UAMV-B,AURORA10_UAMV_B_more60_defensive,160,2024-11-27,2026-02-05,0.2474,0.4165,0.1057,3.35,6.0862,-0.0386,10.8005,-0.0173,0.5875
Low-volatility days,ROMA-P4,ROMA_P4_balanced_regime_blend,160,2024-11-27,2026-02-05,0.356,0.6156,0.1576,3.1256,5.3808,-0.0824,7.4744,-0.0309,0.5938
Low-volatility days,ROMA-B12,ROMA_B12_ma_timing_equal_weight,160,2024-11-27,2026-02-05,0.4419,0.7796,0.1612,3.6605,6.1097,-0.0738,10.5685,-0.0298,0.4875
Low-volatility days,ROMA-B6,ROMA_B6_00881_only,160,2024-11-27,2026-02-05,0.4251,0.7471,0.1994,2.9001,4.5809,-0.103,7.2508,-0.0424,0.5688
Main drawdown episode,AURORA10-UAMV-B,AURORA10_UAMV_B_more60_defensive,57,2025-01-07,2025-04-09,-0.1125,-0.41,0.1235,-4.2057,-4.2775,-0.1168,-3.511,-0.04,0.4035
Main drawdown episode,ROMA-P4,ROMA_P4_balanced_regime_blend,57,2025-01-07,2025-04-09,-0.2343,-0.6928,0.2654,-4.3017,-4.3346,-0.2416,-2.867,-0.0854,0.4035
Main drawdown episode,ROMA-B12,ROMA_B12_ma_timing_equal_weight,57,2025-01-07,2025-04-09,-0.033,-0.1378,0.1465,-0.9396,-0.8141,-0.0498,-2.7652,-0.043,0.2807
Main drawdown episode,ROMA-B6,ROMA_B6_00881_only,57,2025-01-07,2025-04-09,-0.2897,-0.7797,0.3389,-4.2775,-4.1999,-0.3,-2.5987,-0.1,0.4386
