strategy_control,policy_name,control_type,n_days,start_date,end_date,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,hit_rate,avg_daily_return,daily_volatility,worst_daily_return,best_daily_return,final_equity,alpha_20d,alpha_60d,risk_aversion_mode,constant_average_U,constant_average_B,shuffle_probability_seed
AURORA10-UAMV-B original,AURORA16_MC_ORIGINAL_AURORA10_UAMV_B,aurora_mechanism_control,319,2024-11-27,2026-03-25,0.243228,0.18766,0.10373,1.710287,2.277956,-0.116788,1.606851,0.567398,0.000704,0.006534,-0.03996,0.03988,1.243228,0.3,0.7,dynamic,,,
Static 44.35% equity / 55.65% cash,MC_STATIC_4435_EQUITY_5565_CASH,static_exposure_matched_cash_baseline,319,2024-11-27,2026-03-25,0.26461,0.203768,0.110649,1.731903,2.236505,-0.132154,1.541895,0.564263,0.00076,0.00697,-0.044315,0.044219,1.26461,,,none_static,,,
Constant-average uncertainty AURORA,AURORA16_MC_CONSTANT_AVERAGE_UNCERTAINTY,aurora_mechanism_control,319,2024-11-27,2026-03-25,0.243233,0.187664,0.103729,1.710332,2.278141,-0.116776,1.607044,0.567398,0.000704,0.006534,-0.03996,0.03988,1.243233,0.3,0.7,constant_average,0.81443,0.185025,
20d-only AURORA,AURORA16_MC_20D_ONLY_DYNAMIC,aurora_mechanism_control,319,2024-11-27,2026-03-25,0.241851,0.186621,0.103415,1.706703,2.269354,-0.116723,1.598833,0.567398,0.0007,0.006515,-0.03996,0.039879,1.241851,1.0,0.0,dynamic,,,
60d-only AURORA,AURORA16_MC_60D_ONLY_DYNAMIC,aurora_mechanism_control,319,2024-11-27,2026-03-25,0.244301,0.18847,0.103989,1.712837,2.284336,-0.116842,1.613027,0.567398,0.000707,0.006551,-0.03996,0.03988,1.244301,0.0,1.0,dynamic,,,
Equal-blend AURORA,AURORA16_MC_EQUAL_BLEND_DYNAMIC,aurora_mechanism_control,319,2024-11-27,2026-03-25,0.24268,0.187246,0.103601,1.708919,2.274575,-0.116762,1.603664,0.567398,0.000703,0.006526,-0.03996,0.03988,1.24268,0.5,0.5,dynamic,,,
Shuffled-probability AURORA mean,MC_SHUFFLED_PROBABILITIES_MEAN_SERIES,shuffled_probability_control_mean_series,319,2024-11-27,2026-03-25,0.242423,0.187053,0.103544,1.70823,2.272942,-0.116734,1.602387,0.567398,0.000702,0.006523,-0.03996,0.03988,1.242423,0.3,0.7,dynamic,,,mean_of_seeds
Shuffled-probability AURORA seed 1000,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1000,shuffled_probability_control,319,2024-11-27,2026-03-25,0.24227,0.186937,0.103514,1.707744,2.271836,-0.116724,1.601525,0.567398,0.000701,0.006521,-0.03996,0.03988,1.24227,0.3,0.7,dynamic,,,1000
Shuffled-probability AURORA seed 1001,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1001,shuffled_probability_control,319,2024-11-27,2026-03-25,0.242401,0.187036,0.103544,1.70809,2.272699,-0.116726,1.602352,0.567398,0.000702,0.006523,-0.03996,0.03988,1.242401,0.3,0.7,dynamic,,,1001
Shuffled-probability AURORA seed 1002,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1002,shuffled_probability_control,319,2024-11-27,2026-03-25,0.242051,0.186772,0.103471,1.707081,2.270409,-0.116708,1.600337,0.567398,0.000701,0.006518,-0.03996,0.03988,1.242051,0.3,0.7,dynamic,,,1002
Shuffled-probability AURORA seed 1003,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1003,shuffled_probability_control,319,2024-11-27,2026-03-25,0.242654,0.187227,0.103602,1.708749,2.274288,-0.116745,1.603729,0.567398,0.000702,0.006526,-0.03996,0.03988,1.242654,0.3,0.7,dynamic,,,1003
Shuffled-probability AURORA seed 1004,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1004,shuffled_probability_control,319,2024-11-27,2026-03-25,0.242538,0.18714,0.103562,1.708654,2.273809,-0.116748,1.602941,0.567398,0.000702,0.006524,-0.03996,0.03988,1.242538,0.3,0.7,dynamic,,,1004
Shuffled-probability AURORA seed 1005,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1005,shuffled_probability_control,319,2024-11-27,2026-03-25,0.242332,0.186984,0.103526,1.707941,2.272323,-0.116724,1.601929,0.567398,0.000702,0.006522,-0.03996,0.03988,1.242332,0.3,0.7,dynamic,,,1005
