comparison,strategy_control,comparator_control,metric,observed_difference,ci95_lower,ci95_upper,result,bootstrap_replications,block_length,ci_type
AURORA10-UAMV-B original vs Static 44.35% equity / 55.65% cash,AURORA10-UAMV-B original,Static 44.35% equity / 55.65% cash,diff_total_return,-0.02138210724063616,-0.07502579514028819,0.03242452442481646,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Static 44.35% equity / 55.65% cash,AURORA10-UAMV-B original,Static 44.35% equity / 55.65% cash,diff_sharpe,-0.021615882487697524,-0.30641305214403997,0.19621644064895877,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Static 44.35% equity / 55.65% cash,AURORA10-UAMV-B original,Static 44.35% equity / 55.65% cash,diff_sortino,0.04145120057983043,-0.5772645718342535,0.3729862240060784,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Static 44.35% equity / 55.65% cash,AURORA10-UAMV-B original,Static 44.35% equity / 55.65% cash,drawdown_improvement,0.015366381915067562,-0.005250793649534383,0.02310679110364104,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Constant-average uncertainty AURORA,AURORA10-UAMV-B original,Constant-average uncertainty AURORA,diff_total_return,-4.722452289440682e-06,-0.00011407180049967658,0.0001285321388769907,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Constant-average uncertainty AURORA,AURORA10-UAMV-B original,Constant-average uncertainty AURORA,diff_sharpe,-4.542402617668806e-05,-0.0005848109531653156,0.0006442658196276151,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Constant-average uncertainty AURORA,AURORA10-UAMV-B original,Constant-average uncertainty AURORA,diff_sortino,-0.00018490725745889947,-0.0017078171510471972,0.0009287645773395025,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Constant-average uncertainty AURORA,AURORA10-UAMV-B original,Constant-average uncertainty AURORA,drawdown_improvement,-1.1787627411830037e-05,-3.871555712002816e-05,3.305028211489924e-05,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs 20d-only AURORA,AURORA10-UAMV-B original,20d-only AURORA,diff_total_return,0.0013776032744461375,-0.00010127545389097545,0.003729523554925344,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs 20d-only AURORA,AURORA10-UAMV-B original,20d-only AURORA,diff_sharpe,0.0035840560284912115,-0.01122273455651449,0.014977268747572041,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs 20d-only AURORA,AURORA10-UAMV-B original,20d-only AURORA,diff_sortino,0.008602469387520184,-0.021872990979056695,0.024789681765392403,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs 20d-only AURORA,AURORA10-UAMV-B original,20d-only AURORA,drawdown_improvement,-6.459226152366604e-05,-0.0006645596298667456,0.0006338258581574579,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs 60d-only AURORA,AURORA10-UAMV-B original,60d-only AURORA,diff_total_return,-0.0010725151763262275,-0.0028859794766576685,6.860542983097445e-05,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs 60d-only AURORA,AURORA10-UAMV-B original,60d-only AURORA,diff_sharpe,-0.002550198679727833,-0.011526084235354037,0.009292203021142283,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs 60d-only AURORA,AURORA10-UAMV-B original,60d-only AURORA,diff_sortino,-0.006380029051370695,-0.019359280163505722,0.020339784817027248,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs 60d-only AURORA,AURORA10-UAMV-B original,60d-only AURORA,drawdown_improvement,5.458649678613536e-05,-0.0004560628288663936,0.0006018382471526212,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Equal-blend AURORA,AURORA10-UAMV-B original,Equal-blend AURORA,diff_total_return,0.0005485467734152039,-3.307397683207091e-05,0.0015104855829193512,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Equal-blend AURORA,AURORA10-UAMV-B original,Equal-blend AURORA,diff_sharpe,0.0013680080643656556,-0.0046231628392033874,0.0058425719426916335,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Equal-blend AURORA,AURORA10-UAMV-B original,Equal-blend AURORA,diff_sortino,0.0033814199964568026,-0.009302668534576864,0.010054763157338024,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Equal-blend AURORA,AURORA10-UAMV-B original,Equal-blend AURORA,drawdown_improvement,-2.603689637781237e-05,-0.00031222751512453015,0.00025610130115513106,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Shuffled-probability AURORA mean,AURORA10-UAMV-B original,Shuffled-probability AURORA mean,diff_total_return,0.0008050425125218919,-6.718291224498406e-05,0.0022325972834407125,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Shuffled-probability AURORA mean,AURORA10-UAMV-B original,Shuffled-probability AURORA mean,diff_sharpe,0.002056967732320558,-0.0066329742362864486,0.00924366197258272,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Shuffled-probability AURORA mean,AURORA10-UAMV-B original,Shuffled-probability AURORA mean,diff_sortino,0.005014598847121299,-0.014089953013481548,0.015090709926909742,Not significant,5000,20,percentile
AURORA10-UAMV-B original vs Shuffled-probability AURORA mean,AURORA10-UAMV-B original,Shuffled-probability AURORA mean,drawdown_improvement,-5.377371136405795e-05,-0.0004183348235207829,0.0004298594944342177,Not significant,5000,20,percentile
