strategy_control,mean_entropy,std_entropy,mean_bearish_probability,std_bearish_probability,mean_bullish_probability,mean_expected_class,mean_probability_margin,mean_ordinal_variance,corr_entropy_with_original,corr_bearish_with_original
AURORA10-UAMV-B original,0.8637159015324524,0.03698895175938641,0.19043223113049212,0.04391843128163543,0.4775267134467341,2.3823219009905525,0.0963022844336046,1.0595427459284577,1.0,1.0
Constant-average uncertainty AURORA,0.8637159015324524,0.03698895175938641,0.19043223113049212,0.04391843128163543,0.4775267134467341,2.3823219009905525,0.0963022844336046,1.0595427459284577,1.0,1.0
20d-only AURORA,0.7981203012247124,0.05471792714222686,0.22340592356472758,0.06513877819300463,0.37820023976536676,2.135284411457667,0.13234215117795808,0.8861164792284802,0.07726213209110035,0.28635528561252493
60d-only AURORA,0.8499830500808984,0.04370504298143549,0.17630064865867698,0.06093124486544289,0.52009520216732,2.4881951107903606,0.11471863559147591,1.0755847567549277,0.8656504623240528,0.8984970644510222
Equal-blend AURORA,0.8603232333171296,0.03522698966364482,0.19985328611170225,0.04080241602525503,0.44914772096634337,2.311739761124014,0.09576674904384198,1.0294202280291613,0.9305568321409348,0.8994489202970768
Shuffled-probability AURORA seed 1000,0.8637159015324524,0.03698895175938639,0.19043223113049215,0.04391843128163541,0.477526713446734,2.3823219009905525,0.0963022844336046,1.0595427459284577,-0.01897036379000866,0.042841232222898845
Shuffled-probability AURORA seed 1001,0.8637159015324524,0.036988951759386414,0.19043223113049215,0.04391843128163541,0.477526713446734,2.382321900990552,0.09630228443360457,1.0595427459284574,0.04951861018981585,-0.04789461755891564
Shuffled-probability AURORA seed 1002,0.8637159015324524,0.036988951759386414,0.19043223113049215,0.04391843128163541,0.477526713446734,2.3823219009905525,0.09630228443360457,1.0595427459284577,0.012204013530519092,0.0654801722251323
Shuffled-probability AURORA seed 1003,0.8637159015324525,0.036988951759386414,0.19043223113049215,0.04391843128163543,0.477526713446734,2.382321900990552,0.0963022844336046,1.0595427459284577,0.007780776223485967,-0.06912186825830735
Shuffled-probability AURORA seed 1004,0.8637159015324524,0.036988951759386414,0.19043223113049215,0.04391843128163542,0.4775267134467341,2.3823219009905525,0.09630228443360458,1.0595427459284577,-0.0391536911385877,0.008326583574502578
Shuffled-probability AURORA seed 1005,0.8637159015324524,0.03698895175938641,0.19043223113049215,0.04391843128163541,0.477526713446734,2.3823219009905525,0.09630228443360458,1.0595427459284574,0.03629492673284731,-0.010673451869714181
Shuffled-probability AURORA seed 1006,0.8637159015324525,0.0369889517593864,0.19043223113049215,0.04391843128163541,0.4775267134467339,2.382321900990553,0.0963022844336046,1.0595427459284577,-0.0395006119917556,-0.05884643183200038
Shuffled-probability AURORA seed 1007,0.8637159015324524,0.0369889517593864,0.19043223113049215,0.04391843128163541,0.477526713446734,2.382321900990552,0.09630228443360458,1.0595427459284574,0.01052144209799421,0.05676836722732204
Shuffled-probability AURORA seed 1008,0.8637159015324525,0.0369889517593864,0.19043223113049212,0.043918431281635396,0.477526713446734,2.382321900990553,0.09630228443360458,1.0595427459284577,0.026776246940425703,0.024557315010541116
Shuffled-probability AURORA seed 1009,0.8637159015324524,0.03698895175938641,0.19043223113049215,0.04391843128163543,0.477526713446734,2.382321900990553,0.0963022844336046,1.0595427459284577,0.033268179689057646,-0.045829151722441945
