strategy_control,mean_entropy,std_entropy,mean_bearish_probability,std_bearish_probability,mean_bullish_probability,mean_expected_class,mean_probability_margin,mean_ordinal_variance,corr_entropy_with_original,corr_bearish_with_original
AURORA10-UAMV-B original,0.863716,0.036989,0.190432,0.043918,0.477527,2.382322,0.096302,1.059543,1.0,1.0
Constant-average uncertainty AURORA,0.863716,0.036989,0.190432,0.043918,0.477527,2.382322,0.096302,1.059543,1.0,1.0
20d-only AURORA,0.79812,0.054718,0.223406,0.065139,0.3782,2.135284,0.132342,0.886116,0.077262,0.286355
60d-only AURORA,0.849983,0.043705,0.176301,0.060931,0.520095,2.488195,0.114719,1.075585,0.86565,0.898497
Equal-blend AURORA,0.860323,0.035227,0.199853,0.040802,0.449148,2.31174,0.095767,1.02942,0.930557,0.899449
Shuffled-probability AURORA seed 1000,0.863716,0.036989,0.190432,0.043918,0.477527,2.382322,0.096302,1.059543,-0.01897,0.042841
Shuffled-probability AURORA seed 1001,0.863716,0.036989,0.190432,0.043918,0.477527,2.382322,0.096302,1.059543,0.049519,-0.047895
Shuffled-probability AURORA seed 1002,0.863716,0.036989,0.190432,0.043918,0.477527,2.382322,0.096302,1.059543,0.012204,0.06548
Shuffled-probability AURORA seed 1003,0.863716,0.036989,0.190432,0.043918,0.477527,2.382322,0.096302,1.059543,0.007781,-0.069122
Shuffled-probability AURORA seed 1004,0.863716,0.036989,0.190432,0.043918,0.477527,2.382322,0.096302,1.059543,-0.039154,0.008327
Shuffled-probability AURORA seed 1005,0.863716,0.036989,0.190432,0.043918,0.477527,2.382322,0.096302,1.059543,0.036295,-0.010673
Shuffled-probability AURORA seed 1006,0.863716,0.036989,0.190432,0.043918,0.477527,2.382322,0.096302,1.059543,-0.039501,-0.058846
Shuffled-probability AURORA seed 1007,0.863716,0.036989,0.190432,0.043918,0.477527,2.382322,0.096302,1.059543,0.010521,0.056768
Shuffled-probability AURORA seed 1008,0.863716,0.036989,0.190432,0.043918,0.477527,2.382322,0.096302,1.059543,0.026776,0.024557
Shuffled-probability AURORA seed 1009,0.863716,0.036989,0.190432,0.043918,0.477527,2.382322,0.096302,1.059543,0.033268,-0.045829
