strategy_control,avg_cash_weight,median_cash_weight,min_cash_weight,max_cash_weight_realized,pct_days_at_cash_cap,avg_equity_exposure,median_equity_exposure,avg_0050_weight,avg_006208_weight,avg_00692_weight,avg_00881_weight,avg_max_etf_weight,median_max_etf_weight,total_turnover,avg_turnover,total_transaction_cost,num_rebalance_days
AURORA10-UAMV-B original,0.5565016323024807,0.6,0.03180436277547804,0.6,0.8746081504702194,0.4434983676975192,0.4000000000000001,0.11262863089243426,0.14197745899319827,0.17653573157363403,0.012356546238252717,0.18112239841400835,0.17685748576397745,1.617999400856427,0.005072098435286605,0.0016179994008564272,17
Static 44.35% equity / 55.65% cash,0.5564999999999999,0.5565,0.5565,0.5565,,0.4435000000000001,0.4435,0.11087500000000003,0.11087500000000003,0.11087500000000003,0.11087500000000003,0.11087500000000003,0.110875,0.4435,0.001390282131661442,0.0004435,17
Constant-average uncertainty AURORA,0.5565253103359868,0.6,0.031829779350310686,0.6,0.8746081504702194,0.44347468966401304,0.4000000000000001,0.11225076943045832,0.14257271263280194,0.17617050935100872,0.012480698249744099,0.18073694787080832,0.1765547315201415,1.6158625212894504,0.005065399753258465,0.0016158625212894502,17
20d-only AURORA,0.5581805039072507,0.6,0.03397068392378112,0.6,0.8746081504702194,0.44181949609274934,0.4000000000000001,0.10987505032269991,0.1421772158230082,0.1771972504320596,0.01256997951498166,0.18155566944901794,0.178220688020734,1.6154062166695702,0.005063969331252571,0.0016154062166695705,17
60d-only AURORA,0.555213924711524,0.6,0.03001348494163846,0.6,0.8746081504702194,0.44478607528847613,0.4,0.11426662826494788,0.14256270717162317,0.17555446825833168,0.012402271593573369,0.18039423927586376,0.17519171398841274,1.6195634189028147,0.005077001313174968,0.0016195634189028144,17
Equal-blend AURORA,0.5571654800508958,0.6,0.032720398671178076,0.6,0.8746081504702194,0.4428345199491041,0.4000000000000001,0.11170902332261859,0.14178628787672423,0.17696118289645077,0.012378025853310487,0.18145872873179733,0.17767770996552487,1.617112638461577,0.0050693186158670125,0.0016171126384615772,17
Shuffled-probability AURORA seed 1000,0.5575834259286628,0.6,0.03156524561470645,0.6,0.8746081504702194,0.4424165740713371,0.4,0.11098459219338865,0.14159410107365852,0.17747843472870797,0.012359446075582075,0.18189216112180043,0.17842043979940442,1.618912454913242,0.005074960673709223,0.0016189124549132422,17
Shuffled-probability AURORA seed 1001,0.5574164309223787,0.6,0.031311150419752846,0.6,0.8746081504702194,0.44258356907762125,0.4,0.11108318279540338,0.14168911466064954,0.17749262566983434,0.012318645951734085,0.1819186709185307,0.17835149647004456,1.6190227987108061,0.00507530657903074,0.0016190227987108062,17
Shuffled-probability AURORA seed 1002,0.5578091467657995,0.6,0.03072834505792773,0.6,0.8746081504702194,0.4421908532342004,0.4,0.11092971391475977,0.14156711643581887,0.17741067047665693,0.012283352406964858,0.1818092982230255,0.17835770252569796,1.6203775377021177,0.005079553409724507,0.001620377537702118,17
Shuffled-probability AURORA seed 1003,0.557128714031679,0.6,0.031644554002212354,0.6,0.8746081504702194,0.4428712859683208,0.4,0.1113645701926296,0.14174251281939262,0.1773601736237794,0.012404029332519287,0.18182587550979926,0.17812817981520895,1.6186165093814262,0.005074032944769361,0.0016186165093814264,17
Shuffled-probability AURORA seed 1004,0.5573529733229997,0.6,0.033760010303924406,0.6,0.8746081504702194,0.4426470266770002,0.4,0.11135122420203752,0.14163733505929155,0.1773054363976481,0.012353031018023049,0.1817600911827395,0.1781274374774663,1.6146694801554575,0.0050616598123995535,0.0016146694801554577,17
Shuffled-probability AURORA seed 1005,0.5575188064021843,0.6,0.03162425443314193,0.6,0.8746081504702194,0.44248119359781557,0.4,0.11120213939292524,0.14162254415086922,0.1773655968845997,0.012290913169421437,0.1817920014906794,0.17828263491007093,1.6184556715773462,0.005073528751026164,0.0016184556715773462,17
Shuffled-probability AURORA seed 1006,0.5575559011564499,0.6,0.033290740701758414,0.6,0.8746081504702194,0.44244409884355007,0.4000000000000001,0.11109132770953653,0.14158750540656742,0.17741831953477563,0.01234694619267059,0.1818368631068057,0.1783279063883603,1.615231037951741,0.005063420181666899,0.001615231037951741,17
Shuffled-probability AURORA seed 1007,0.5574286799117361,0.6,0.033077039929539434,0.6,0.8746081504702194,0.44257132008826394,0.4000000000000001,0.11130227892700588,0.14164519596441508,0.17731858118167776,0.01230526401516523,0.18176006536022446,0.17817124340239882,1.6156826271910232,0.0050648358219154335,0.0016156826271910233,17
Shuffled-probability AURORA seed 1008,0.5572114261732733,0.6,0.032051019929214025,0.6,0.8746081504702194,0.44278857382672654,0.4,0.1113801225759553,0.14170134390995034,0.17735540422528728,0.012351703115533718,0.1818188821991008,0.17820659971671754,1.6176825376516961,0.005071105133704377,0.0016176825376516958,17
Shuffled-probability AURORA seed 1009,0.5573322718603125,0.6,0.03436142371996877,0.6,0.8746081504702194,0.4426677281396873,0.4000000000000001,0.11140417085734372,0.1416626469993694,0.1772844542497519,0.012316456033222399,0.18174808949608684,0.17818742077265082,1.613025286825568,0.005056505601334069,0.001613025286825568,17
