strategy_control,avg_cash_weight,median_cash_weight,min_cash_weight,max_cash_weight_realized,pct_days_at_cash_cap,avg_equity_exposure,median_equity_exposure,avg_0050_weight,avg_006208_weight,avg_00692_weight,avg_00881_weight,avg_max_etf_weight,median_max_etf_weight,total_turnover,avg_turnover,total_transaction_cost,num_rebalance_days
AURORA10-UAMV-B original,0.556502,0.6,0.031804,0.6,0.874608,0.443498,0.4,0.112629,0.141977,0.176536,0.012357,0.181122,0.176857,1.617999,0.005072,0.001618,17
Static 44.35% equity / 55.65% cash,0.5565,0.5565,0.5565,0.5565,,0.4435,0.4435,0.110875,0.110875,0.110875,0.110875,0.110875,0.110875,0.4435,0.00139,0.000444,17
Constant-average uncertainty AURORA,0.556525,0.6,0.03183,0.6,0.874608,0.443475,0.4,0.112251,0.142573,0.176171,0.012481,0.180737,0.176555,1.615863,0.005065,0.001616,17
20d-only AURORA,0.558181,0.6,0.033971,0.6,0.874608,0.441819,0.4,0.109875,0.142177,0.177197,0.01257,0.181556,0.178221,1.615406,0.005064,0.001615,17
60d-only AURORA,0.555214,0.6,0.030013,0.6,0.874608,0.444786,0.4,0.114267,0.142563,0.175554,0.012402,0.180394,0.175192,1.619563,0.005077,0.00162,17
Equal-blend AURORA,0.557165,0.6,0.03272,0.6,0.874608,0.442835,0.4,0.111709,0.141786,0.176961,0.012378,0.181459,0.177678,1.617113,0.005069,0.001617,17
Shuffled-probability AURORA seed 1000,0.557583,0.6,0.031565,0.6,0.874608,0.442417,0.4,0.110985,0.141594,0.177478,0.012359,0.181892,0.17842,1.618912,0.005075,0.001619,17
Shuffled-probability AURORA seed 1001,0.557416,0.6,0.031311,0.6,0.874608,0.442584,0.4,0.111083,0.141689,0.177493,0.012319,0.181919,0.178351,1.619023,0.005075,0.001619,17
Shuffled-probability AURORA seed 1002,0.557809,0.6,0.030728,0.6,0.874608,0.442191,0.4,0.11093,0.141567,0.177411,0.012283,0.181809,0.178358,1.620378,0.00508,0.00162,17
Shuffled-probability AURORA seed 1003,0.557129,0.6,0.031645,0.6,0.874608,0.442871,0.4,0.111365,0.141743,0.17736,0.012404,0.181826,0.178128,1.618617,0.005074,0.001619,17
Shuffled-probability AURORA seed 1004,0.557353,0.6,0.03376,0.6,0.874608,0.442647,0.4,0.111351,0.141637,0.177305,0.012353,0.18176,0.178127,1.614669,0.005062,0.001615,17
Shuffled-probability AURORA seed 1005,0.557519,0.6,0.031624,0.6,0.874608,0.442481,0.4,0.111202,0.141623,0.177366,0.012291,0.181792,0.178283,1.618456,0.005074,0.001618,17
Shuffled-probability AURORA seed 1006,0.557556,0.6,0.033291,0.6,0.874608,0.442444,0.4,0.111091,0.141588,0.177418,0.012347,0.181837,0.178328,1.615231,0.005063,0.001615,17
Shuffled-probability AURORA seed 1007,0.557429,0.6,0.033077,0.6,0.874608,0.442571,0.4,0.111302,0.141645,0.177319,0.012305,0.18176,0.178171,1.615683,0.005065,0.001616,17
Shuffled-probability AURORA seed 1008,0.557211,0.6,0.032051,0.6,0.874608,0.442789,0.4,0.11138,0.141701,0.177355,0.012352,0.181819,0.178207,1.617683,0.005071,0.001618,17
Shuffled-probability AURORA seed 1009,0.557332,0.6,0.034361,0.6,0.874608,0.442668,0.4,0.111404,0.141663,0.177284,0.012316,0.181748,0.178187,1.613025,0.005057,0.001613,17
