strategy_control,policy_name,control_type,n_days,start_date,end_date,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,hit_rate,avg_daily_return,daily_volatility,worst_daily_return,best_daily_return,final_equity
AURORA cash cap 20%,AURORA17_CASH_CAP_20,cash_cap_sensitivity,319,2024-11-27,2026-03-25,0.485557,0.367059,0.197078,1.685899,2.176414,-0.22497,1.631591,0.567398,0.001318,0.012415,-0.079926,0.079759,1.485557
AURORA cash cap 40%,AURORA17_CASH_CAP_40,cash_cap_sensitivity,319,2024-11-27,2026-03-25,0.359474,0.274556,0.149571,1.697369,2.215429,-0.172158,1.594787,0.567398,0.001007,0.009422,-0.059943,0.05982,1.359474
AURORA cash cap 60%,AURORA17_CASH_CAP_60,cash_cap_sensitivity,319,2024-11-27,2026-03-25,0.243228,0.18766,0.10373,1.710287,2.277956,-0.116788,1.606851,0.567398,0.000704,0.006534,-0.03996,0.03988,1.243228
AURORA cash cap 80%,AURORA17_CASH_CAP_80,cash_cap_sensitivity,319,2024-11-27,2026-03-25,0.128835,0.100466,0.065105,1.503144,2.014131,-0.068712,1.462131,0.564263,0.000388,0.004101,-0.019978,0.021278,1.128835
Uniform-probability AURORA,AURORA17_UNIFORM_PROBABILITY,no_forecast_probability_control,319,2024-11-27,2026-03-25,0.238974,0.184449,0.102801,1.698451,2.249144,-0.11663,1.581493,0.567398,0.000693,0.006476,-0.03996,0.039879,1.238974
Class-prior-probability AURORA,AURORA17_CLASS_PRIOR_PROBABILITY,no_forecast_probability_control,319,2024-11-27,2026-03-25,0.242744,0.187295,0.103614,1.709114,2.275067,-0.116751,1.604229,0.567398,0.000703,0.006527,-0.03996,0.03988,1.242744
No-probability mean-variance AURORA,AURORA17_NO_PROBABILITY_MEAN_VARIANCE,no_probability_mean_variance_control,319,2024-11-27,2026-03-25,0.212959,0.164758,0.135193,1.19596,1.44829,-0.181464,0.907938,0.564263,0.000642,0.008516,-0.059626,0.059505,1.212959
Static 40% equity / 60% cash,STATIC_40_EQUITY_60_CASH,static_etf_cash_baseline,319,2024-11-27,2026-03-25,0.236679,0.182715,0.099796,1.731903,2.236505,-0.119822,1.524883,0.564263,0.000686,0.006287,-0.039969,0.039882,1.236679
Static 50% equity / 50% cash,STATIC_50_EQUITY_50_CASH,static_etf_cash_baseline,319,2024-11-27,2026-03-25,0.30154,0.231453,0.124745,1.731903,2.236505,-0.147972,1.564172,0.564263,0.000857,0.007858,-0.049961,0.049852,1.30154
Static 44.35% equity / 55.65% cash,STATIC_4435_EQUITY_5565_CASH,static_etf_cash_baseline,319,2024-11-27,2026-03-25,0.26461,0.203768,0.110649,1.731903,2.236505,-0.132154,1.541895,0.564263,0.00076,0.00697,-0.044315,0.044219,1.26461
Volatility-targeted equal-weight baseline,VOL_TARGET_EQUAL_WEIGHT,volatility_targeted_equal_weight_baseline,319,2024-11-27,2026-03-25,0.40111,0.305294,0.148553,1.868507,2.455812,-0.167337,1.824426,0.564263,0.001101,0.009358,-0.05897,0.058842,1.40111
Drawdown-control equal-weight baseline,DRAWDOWN_CONTROL_EQUAL_WEIGHT,drawdown_control_equal_weight_baseline,319,2024-11-27,2026-03-25,0.543687,0.409146,0.196672,1.843317,2.530989,-0.19725,2.074247,0.564263,0.001439,0.012389,-0.045168,0.041709,1.543687
