comparison,strategy_control,comparator_control,metric,observed_difference,ci95_lower,ci95_upper,result,bootstrap_replications,block_length,ci_type
AURORA cash cap 60% vs AURORA cash cap 20%,AURORA cash cap 60%,AURORA cash cap 20%,diff_total_return,-0.24232914943271067,-0.6969698172434834,0.03981821873992548,Not significant,5000,20,percentile
AURORA cash cap 60% vs AURORA cash cap 20%,AURORA cash cap 60%,AURORA cash cap 20%,diff_sharpe,0.024388002625907568,-0.22224065615122965,0.20886883367111597,Not significant,5000,20,percentile
AURORA cash cap 60% vs AURORA cash cap 20%,AURORA cash cap 60%,AURORA cash cap 20%,diff_sortino,0.10154209252740332,-0.4367082697192047,0.37857150603139866,Not significant,5000,20,percentile
AURORA cash cap 60% vs AURORA cash cap 20%,AURORA cash cap 60%,AURORA cash cap 20%,drawdown_improvement,0.10818243177097708,0.028324236207812943,0.1421816731963215,Significant positive,5000,20,percentile
AURORA cash cap 60% vs AURORA cash cap 40%,AURORA cash cap 60%,AURORA cash cap 40%,diff_total_return,-0.11624571371376669,-0.30525784259723465,0.016060246321347095,Not significant,5000,20,percentile
AURORA cash cap 60% vs AURORA cash cap 40%,AURORA cash cap 60%,AURORA cash cap 40%,diff_sharpe,0.0129177288758211,-0.1724178077955389,0.13315426624916982,Not significant,5000,20,percentile
AURORA cash cap 60% vs AURORA cash cap 40%,AURORA cash cap 60%,AURORA cash cap 40%,diff_sortino,0.06252720804654022,-0.3686034802251425,0.2442068823114463,Not significant,5000,20,percentile
AURORA cash cap 60% vs AURORA cash cap 40%,AURORA cash cap 60%,AURORA cash cap 40%,drawdown_improvement,0.05537068979420112,0.013061217970453662,0.07533558261425492,Significant positive,5000,20,percentile
AURORA cash cap 60% vs AURORA cash cap 80%,AURORA cash cap 60%,AURORA cash cap 80%,diff_total_return,0.11439281736230167,-0.0029243197444114356,0.2617128144635975,Not significant,5000,20,percentile
AURORA cash cap 60% vs AURORA cash cap 80%,AURORA cash cap 60%,AURORA cash cap 80%,diff_sharpe,0.20714307897353335,-0.11550268968218548,0.7578573485833089,Not significant,5000,20,percentile
AURORA cash cap 60% vs AURORA cash cap 80%,AURORA cash cap 60%,AURORA cash cap 80%,diff_sortino,0.26382494654013033,-0.2335532963093292,1.8443686094074516,Not significant,5000,20,percentile
AURORA cash cap 60% vs AURORA cash cap 80%,AURORA cash cap 60%,AURORA cash cap 80%,drawdown_improvement,-0.048075682081565874,-0.06813641046529768,-0.005717639512426694,Significant negative,5000,20,percentile
AURORA cash cap 60% vs Uniform-probability AURORA,AURORA cash cap 60%,Uniform-probability AURORA,diff_total_return,0.004253774011496736,-0.00010637486903689042,0.010964214569420967,Not significant,5000,20,percentile
AURORA cash cap 60% vs Uniform-probability AURORA,AURORA cash cap 60%,Uniform-probability AURORA,diff_sharpe,0.011835392029676317,-0.029710451527812366,0.04518293670729311,Not significant,5000,20,percentile
AURORA cash cap 60% vs Uniform-probability AURORA,AURORA cash cap 60%,Uniform-probability AURORA,diff_sortino,0.028812169594782056,-0.05451572871610684,0.07781246289455923,Not significant,5000,20,percentile
AURORA cash cap 60% vs Uniform-probability AURORA,AURORA cash cap 60%,Uniform-probability AURORA,drawdown_improvement,-0.00015790838681406516,-0.0017900131054423313,0.0018182472743615275,Not significant,5000,20,percentile
AURORA cash cap 60% vs Class-prior-probability AURORA,AURORA cash cap 60%,Class-prior-probability AURORA,diff_total_return,0.0004844516679038957,-7.264317063209735e-05,0.001453855564523548,Not significant,5000,20,percentile
AURORA cash cap 60% vs Class-prior-probability AURORA,AURORA cash cap 60%,Class-prior-probability AURORA,diff_sharpe,0.0011726384675458945,-0.0044744288919470795,0.005780439736016416,Not significant,5000,20,percentile
AURORA cash cap 60% vs Class-prior-probability AURORA,AURORA cash cap 60%,Class-prior-probability AURORA,diff_sortino,0.0028892514970890737,-0.009236777892331837,0.00960310218865499,Not significant,5000,20,percentile
AURORA cash cap 60% vs Class-prior-probability AURORA,AURORA cash cap 60%,Class-prior-probability AURORA,drawdown_improvement,-3.700150340490982e-05,-0.0003266142194352644,0.00027788646126898614,Not significant,5000,20,percentile
AURORA cash cap 60% vs No-probability mean-variance AURORA,AURORA cash cap 60%,No-probability mean-variance AURORA,diff_total_return,0.030269171821997842,-0.05445584741804633,0.10237999504374956,Not significant,5000,20,percentile
AURORA cash cap 60% vs No-probability mean-variance AURORA,AURORA cash cap 60%,No-probability mean-variance AURORA,diff_sharpe,0.5143268292691423,0.07589549562449724,0.8108279250840169,Significant positive,5000,20,percentile
AURORA cash cap 60% vs No-probability mean-variance AURORA,AURORA cash cap 60%,No-probability mean-variance AURORA,diff_sortino,0.829666571734762,0.0936581588628611,1.6362992941998697,Significant positive,5000,20,percentile
AURORA cash cap 60% vs No-probability mean-variance AURORA,AURORA cash cap 60%,No-probability mean-variance AURORA,drawdown_improvement,0.06467669949360944,0.0012432571290569656,0.09067348461508426,Significant positive,5000,20,percentile
