strategy_control,avg_cash_weight,median_cash_weight,min_cash_weight,max_cash_weight_realized,pct_days_at_cash_cap,avg_equity_exposure,median_equity_exposure,avg_0050_weight,avg_006208_weight,avg_00692_weight,avg_00881_weight,avg_max_etf_weight,median_max_etf_weight,total_turnover,avg_turnover,total_transaction_cost,num_rebalance_days
AURORA cash cap 20%,0.19105589968345962,0.2,0.03180436277547804,0.2,0.9216300940438872,0.8089441003165402,0.8,0.19612141702050187,0.23645092751405386,0.3281122683057651,0.04825948747621951,0.33197168821812695,0.3421451879936988,1.3725265995509723,0.004302591221162923,0.0013725265995509725,17
AURORA cash cap 40%,0.375381918492237,0.4,0.03180436277547804,0.4,0.9216300940438872,0.624618081507763,0.6000000000000001,0.1556950852796073,0.1889488125689043,0.2508082553323274,0.029165928326923947,0.25501386862297515,0.2645412763238425,1.4952807711907268,0.004687400536648047,0.0014952807711907268,17
AURORA cash cap 60%,0.5565016323024807,0.6,0.03180436277547804,0.6,0.8746081504702194,0.4434983676975192,0.4000000000000001,0.11262863089243426,0.14197745899319827,0.17653573157363403,0.012356546238252717,0.18112239841400835,0.17685748576397745,1.617999400856427,0.005072098435286605,0.0016179994008564272,17
AURORA cash cap 80%,0.721779074207479,0.8,0.03180436277547804,0.8,0.6865203761755486,0.2782209257925209,0.19999999999999998,0.0647343559269623,0.09486122001322077,0.10587495083097717,0.012750399021360659,0.11070178733134196,0.09080707692345152,1.7848034922146314,0.005594995273400099,0.0017848034922146312,17
Uniform-probability AURORA,0.5613138370263286,0.6,0.039974792320537855,0.6,0.9216300940438872,0.4386861629736713,0.4,0.1057386068139342,0.1368689439177818,0.18380995776429562,0.012268654477659766,0.18759001312129361,0.1865813333792765,1.6302521331090927,0.005110508254260479,0.0016302521331090928,17
Class-prior-probability AURORA,0.5570881279020862,0.6,0.03259813768455008,0.6,0.8746081504702194,0.4429118720979138,0.4000000000000001,0.11156775077103684,0.14199239538568947,0.17694743007742977,0.012404295863757754,0.18143226323594774,0.17764785319606882,1.6158541744941668,0.0050653735877560085,0.0016158541744941668,17
No-probability mean-variance AURORA,0.4808763785690295,0.5866704272096106,0.00920051653048561,0.6,0.3322884012539185,0.5191236214309706,0.41332957279038945,0.1546751561213444,0.17426942529371084,0.15623404449896416,0.03394499551695111,0.17426942529371084,0.1460233365006545,1.6403959294374515,0.005142306988832136,0.0016403959294374517,17
Static 40% equity / 60% cash,0.6,0.6,0.6,0.6,,0.3999999999999999,0.4,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.1,0.4,0.0012539184952978057,0.0004,17
Static 50% equity / 50% cash,0.5,0.5,0.5,0.5,,0.5,0.5,0.125,0.125,0.125,0.125,0.125,0.125,0.5,0.001567398119122257,0.0005,17
Static 44.35% equity / 55.65% cash,0.5564999999999999,0.5565,0.5565,0.5565,,0.4435000000000001,0.4435,0.11087500000000003,0.11087500000000003,0.11087500000000003,0.11087500000000003,0.11087500000000003,0.110875,0.4435,0.001390282131661442,0.0004435,17
Volatility-targeted equal-weight baseline,0.4180854534758013,0.43270681797602895,0.1210540275151154,0.8310218423327626,,0.5819145465241987,0.567293182023971,0.14547863663104968,0.14547863663104968,0.14547863663104968,0.14547863663104968,0.14547863663104968,0.14182329550599276,3.8784886623516153,0.012158271668813841,0.003878488662351615,17
Drawdown-control equal-weight baseline,0.14608150470219433,0.0,0.0,0.6,,0.8539184952978056,1.0,0.2134796238244514,0.2134796238244514,0.2134796238244514,0.2134796238244514,0.2134796238244514,0.25,2.2,0.006896551724137932,0.0021999999999999997,17
