strategy_control,avg_cash_weight,median_cash_weight,min_cash_weight,max_cash_weight_realized,pct_days_at_cash_cap,avg_equity_exposure,median_equity_exposure,avg_0050_weight,avg_006208_weight,avg_00692_weight,avg_00881_weight,avg_max_etf_weight,median_max_etf_weight,total_turnover,avg_turnover,total_transaction_cost,num_rebalance_days
AURORA cash cap 20%,0.191056,0.2,0.031804,0.2,0.92163,0.808944,0.8,0.196121,0.236451,0.328112,0.048259,0.331972,0.342145,1.372527,0.004303,0.001373,17
AURORA cash cap 40%,0.375382,0.4,0.031804,0.4,0.92163,0.624618,0.6,0.155695,0.188949,0.250808,0.029166,0.255014,0.264541,1.495281,0.004687,0.001495,17
AURORA cash cap 60%,0.556502,0.6,0.031804,0.6,0.874608,0.443498,0.4,0.112629,0.141977,0.176536,0.012357,0.181122,0.176857,1.617999,0.005072,0.001618,17
AURORA cash cap 80%,0.721779,0.8,0.031804,0.8,0.68652,0.278221,0.2,0.064734,0.094861,0.105875,0.01275,0.110702,0.090807,1.784803,0.005595,0.001785,17
Uniform-probability AURORA,0.561314,0.6,0.039975,0.6,0.92163,0.438686,0.4,0.105739,0.136869,0.18381,0.012269,0.18759,0.186581,1.630252,0.005111,0.00163,17
Class-prior-probability AURORA,0.557088,0.6,0.032598,0.6,0.874608,0.442912,0.4,0.111568,0.141992,0.176947,0.012404,0.181432,0.177648,1.615854,0.005065,0.001616,17
No-probability mean-variance AURORA,0.480876,0.58667,0.009201,0.6,0.332288,0.519124,0.41333,0.154675,0.174269,0.156234,0.033945,0.174269,0.146023,1.640396,0.005142,0.00164,17
Static 40% equity / 60% cash,0.6,0.6,0.6,0.6,,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.001254,0.0004,17
Static 50% equity / 50% cash,0.5,0.5,0.5,0.5,,0.5,0.5,0.125,0.125,0.125,0.125,0.125,0.125,0.5,0.001567,0.0005,17
Static 44.35% equity / 55.65% cash,0.5565,0.5565,0.5565,0.5565,,0.4435,0.4435,0.110875,0.110875,0.110875,0.110875,0.110875,0.110875,0.4435,0.00139,0.000444,17
Volatility-targeted equal-weight baseline,0.418085,0.432707,0.121054,0.831022,,0.581915,0.567293,0.145479,0.145479,0.145479,0.145479,0.145479,0.141823,3.878489,0.012158,0.003878,17
Drawdown-control equal-weight baseline,0.146082,0.0,0.0,0.6,,0.853918,1.0,0.21348,0.21348,0.21348,0.21348,0.21348,0.25,2.2,0.006897,0.0022,17
