comparison,strategy_control,comparator_control,metric,observed_difference,ci95_lower,ci95_upper,result,bootstrap_replications,block_length,ci_type
Original dynamic AURORA vs Exposure-matched constant-lambda AURORA,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_total_return,-0.00023168124142936009,-0.0005945841640240701,5.448080359915506e-05,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda AURORA,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sharpe,-0.0011044252532188548,-0.0030314826360825775,0.0007487126952987475,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda AURORA,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sortino,-0.0018027315910571495,-0.005064914112847274,0.0007799434757953939,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda AURORA,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,drawdown_improvement,-8.103288361094307e-06,-0.00014709517995595002,2.8553636731729038e-05,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda no-probability AURORA,Original dynamic AURORA,Exposure-matched constant-lambda no-probability AURORA,diff_total_return,-0.00020777755701284484,-0.0005406641061746709,5.9097310480027356e-05,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda no-probability AURORA,Original dynamic AURORA,Exposure-matched constant-lambda no-probability AURORA,diff_sharpe,-0.0010049472124782355,-0.002765212596382205,0.0006629389673293896,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda no-probability AURORA,Original dynamic AURORA,Exposure-matched constant-lambda no-probability AURORA,diff_sortino,-0.0016724208121532413,-0.004747384418029088,0.0007830133094183114,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda no-probability AURORA,Original dynamic AURORA,Exposure-matched constant-lambda no-probability AURORA,drawdown_improvement,-1.1828993209062055e-05,-0.00013267522815859077,2.5291066804336408e-05,Not significant,5000,20,percentile
Original dynamic AURORA vs Static exposure-matched cash baseline,Original dynamic AURORA,Static exposure-matched cash baseline,diff_total_return,-0.022315849931586085,-0.0736060023972993,0.02758737471296038,Not significant,5000,20,percentile
Original dynamic AURORA vs Static exposure-matched cash baseline,Original dynamic AURORA,Static exposure-matched cash baseline,diff_sharpe,-0.0330861353899603,-0.29780635757014273,0.16501566302932308,Not significant,5000,20,percentile
Original dynamic AURORA vs Static exposure-matched cash baseline,Original dynamic AURORA,Static exposure-matched cash baseline,diff_sortino,0.005675894630890799,-0.597605355244921,0.32264156174410263,Not significant,5000,20,percentile
Original dynamic AURORA vs Static exposure-matched cash baseline,Original dynamic AURORA,Static exposure-matched cash baseline,drawdown_improvement,0.01319264850462143,-0.005814903365317039,0.019066299175249712,Not significant,5000,20,percentile
