comparison,strategy_control,comparator_control,metric,observed_difference,ci95_lower,ci95_upper,result,bootstrap_replications,block_length,ci_type
Original dynamic AURORA vs Exposure-matched constant-lambda AURORA,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_total_return,-0.000232,-0.000595,5.4e-05,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda AURORA,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sharpe,-0.001104,-0.003031,0.000749,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda AURORA,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sortino,-0.001803,-0.005065,0.00078,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda AURORA,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,drawdown_improvement,-8e-06,-0.000147,2.9e-05,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda no-probability AURORA,Original dynamic AURORA,Exposure-matched constant-lambda no-probability AURORA,diff_total_return,-0.000208,-0.000541,5.9e-05,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda no-probability AURORA,Original dynamic AURORA,Exposure-matched constant-lambda no-probability AURORA,diff_sharpe,-0.001005,-0.002765,0.000663,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda no-probability AURORA,Original dynamic AURORA,Exposure-matched constant-lambda no-probability AURORA,diff_sortino,-0.001672,-0.004747,0.000783,Not significant,5000,20,percentile
Original dynamic AURORA vs Exposure-matched constant-lambda no-probability AURORA,Original dynamic AURORA,Exposure-matched constant-lambda no-probability AURORA,drawdown_improvement,-1.2e-05,-0.000133,2.5e-05,Not significant,5000,20,percentile
Original dynamic AURORA vs Static exposure-matched cash baseline,Original dynamic AURORA,Static exposure-matched cash baseline,diff_total_return,-0.022316,-0.073606,0.027587,Not significant,5000,20,percentile
Original dynamic AURORA vs Static exposure-matched cash baseline,Original dynamic AURORA,Static exposure-matched cash baseline,diff_sharpe,-0.033086,-0.297806,0.165016,Not significant,5000,20,percentile
Original dynamic AURORA vs Static exposure-matched cash baseline,Original dynamic AURORA,Static exposure-matched cash baseline,diff_sortino,0.005676,-0.597605,0.322642,Not significant,5000,20,percentile
Original dynamic AURORA vs Static exposure-matched cash baseline,Original dynamic AURORA,Static exposure-matched cash baseline,drawdown_improvement,0.013193,-0.005815,0.019066,Not significant,5000,20,percentile
