grid_family,lambda_value,avg_cash_weight,cash_match_error_abs,pct_days_at_cash_cap,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
constant_lambda_no_probability,34.0,0.5565,1.7e-05,0.874608,0.242492,1.699822,2.243853,-0.118945,1.573035
constant_lambda_no_probability,36.0,0.557833,0.001317,0.874608,0.241048,1.695595,2.235393,-0.118837,1.565294
constant_lambda_no_probability,32.0,0.555116,0.0014,0.874608,0.244,1.704074,2.252354,-0.119059,1.581091
constant_lambda_no_probability,38.0,0.559119,0.002602,0.874608,0.23976,1.691899,2.227618,-0.118736,1.558428
constant_lambda_no_probability,30.0,0.553681,0.002836,0.874608,0.245575,1.708343,2.260867,-0.119178,1.589481
constant_lambda_no_probability,40.0,0.560359,0.003843,0.874608,0.238607,1.688656,2.220483,-0.118644,1.552307
constant_lambda_no_probability,28.0,0.55219,0.004326,0.874608,0.247222,1.712614,2.269361,-0.119304,1.59822
constant_lambda_no_probability,42.0,0.561142,0.004626,0.92163,0.237863,1.68656,2.21572,-0.118587,1.548308
constant_lambda_no_probability,44.0,0.561503,0.004987,0.92163,0.237481,1.685529,2.213208,-0.118559,1.546236
constant_lambda_no_probability,46.0,0.561862,0.005346,0.92163,0.237107,1.684513,2.210741,-0.118533,1.544201
constant_lambda_no_probability,48.0,0.562218,0.005702,0.92163,0.236725,1.683426,2.208254,-0.118506,1.542112
constant_lambda_no_probability,50.0,0.562571,0.006055,0.92163,0.236351,1.682353,2.205807,-0.118481,1.540057
constant_lambda_no_probability,26.0,0.550454,0.006063,0.815047,0.248791,1.71551,2.275604,-0.119543,1.604909
constant_lambda_no_probability,52.0,0.562922,0.006406,0.92163,0.235987,1.681275,2.20172,-0.118456,1.538059
constant_lambda_no_probability,54.0,0.56327,0.006754,0.92163,0.235634,1.680209,2.199435,-0.118432,1.536121
constant_lambda_no_probability,55.0,0.563443,0.006927,0.92163,0.235459,1.679683,2.198306,-0.118419,1.535166
constant_lambda_no_probability,56.0,0.563616,0.007099,0.92163,0.235287,1.679163,2.197187,-0.118407,1.534219
constant_lambda_no_probability,58.0,0.563959,0.007443,0.92163,0.234931,1.678033,2.194846,-0.118384,1.532248
constant_lambda_no_probability,60.0,0.5643,0.007783,0.92163,0.234538,1.676635,2.192172,-0.118362,1.530024
constant_lambda_no_probability,24.0,0.547095,0.009421,0.815047,0.249158,1.706962,2.262934,-0.120693,1.591917
constant_lambda_no_probability,70.0,0.565966,0.00945,0.92163,0.232905,1.671398,2.181231,-0.118256,1.520953
constant_lambda_no_probability,80.0,0.567574,0.011057,0.92163,0.231521,1.667295,2.172038,-0.118162,1.513317
constant_lambda_no_probability,22.0,0.543539,0.012977,0.815047,0.249489,1.69722,2.249134,-0.121934,1.577764
constant_lambda_no_probability,20.0,0.538193,0.018324,0.749216,0.24657,1.663155,2.198776,-0.125522,1.515123
constant_lambda_no_probability,19.0,0.534982,0.021535,0.749216,0.244169,1.639112,2.163147,-0.128001,1.471636
constant_lambda_no_probability,18.0,0.531652,0.024864,0.68652,0.241641,1.614015,2.125531,-0.130583,1.427918
constant_lambda_no_probability,17.0,0.52745,0.029066,0.623824,0.238645,1.572863,2.055094,-0.135037,1.364073
constant_lambda_no_probability,16.0,0.522422,0.034094,0.567398,0.235172,1.518145,1.96055,-0.141174,1.286189
constant_lambda_no_probability,15.0,0.517111,0.039405,0.567398,0.231435,1.462013,1.864504,-0.147585,1.211178
constant_lambda_no_probability,14.0,0.511577,0.044939,0.567398,0.227486,1.40526,1.769726,-0.15428,1.139254
constant_lambda_no_probability,13.0,0.505672,0.050844,0.498433,0.223344,1.348059,1.674752,-0.16127,1.070434
constant_lambda_no_probability,12.0,0.4992,0.057317,0.435737,0.219245,1.291802,1.58534,-0.168567,1.005678
constant_lambda_no_probability,11.0,0.490542,0.065975,0.435737,0.217323,1.245642,1.513207,-0.176182,0.953942
constant_lambda_no_probability,10.0,0.481003,0.075513,0.369906,0.216242,1.203757,1.448402,-0.184126,0.908331
constant_lambda_no_probability,9.0,0.469957,0.08656,0.332288,0.216112,1.164571,1.389179,-0.192412,0.868706
constant_lambda_no_probability,8.0,0.455701,0.100815,0.266458,0.219115,1.138183,1.348529,-0.201052,0.842696
constant_lambda_no_probability,7.0,0.439207,0.11731,0.194357,0.224174,1.119802,1.319205,-0.210056,0.824816
constant_lambda_no_probability,6.0,0.411087,0.145429,0.0,0.240859,1.141073,1.344939,-0.219438,0.847034
constant_lambda_no_probability,5.0,0.358542,0.197975,0.0,0.28456,1.235124,1.474399,-0.22921,0.954342
constant_lambda_no_probability,4.0,0.297496,0.259021,0.0,0.338674,1.335034,1.619144,-0.239382,1.082477
constant_lambda_no_probability,3.0,0.226252,0.330264,0.0,0.406176,1.439086,1.775424,-0.249967,1.236246
constant_lambda_no_probability,2.0,0.142741,0.413775,0.0,0.491056,1.544781,1.939798,-0.260977,1.42179
constant_lambda_original_probabilities,34.0,0.556498,1.8e-05,0.874608,0.242516,1.699921,2.243984,-0.118949,1.573137
constant_lambda_original_probabilities,36.0,0.557832,0.001315,0.874608,0.241071,1.695692,2.23552,-0.11884,1.565392
constant_lambda_original_probabilities,32.0,0.555115,0.001401,0.874608,0.244024,1.704177,2.252488,-0.119062,1.581198
constant_lambda_original_probabilities,38.0,0.559117,0.002601,0.874608,0.239769,1.691926,2.227651,-0.11874,1.55844
constant_lambda_original_probabilities,30.0,0.553679,0.002837,0.874608,0.245601,1.708448,2.261005,-0.119182,1.589591
constant_lambda_original_probabilities,40.0,0.560358,0.003842,0.874608,0.238615,1.688669,2.220497,-0.118647,1.552306
constant_lambda_original_probabilities,28.0,0.552189,0.004328,0.874608,0.247248,1.712721,2.269502,-0.119307,1.598335
constant_lambda_original_probabilities,42.0,0.561141,0.004625,0.92163,0.237869,1.686571,2.215729,-0.11859,1.548303
constant_lambda_original_probabilities,44.0,0.561503,0.004987,0.92163,0.237487,1.68554,2.213217,-0.118563,1.54623
constant_lambda_original_probabilities,46.0,0.561861,0.005345,0.92163,0.237113,1.684524,2.21075,-0.118536,1.544195
constant_lambda_original_probabilities,48.0,0.562217,0.005701,0.92163,0.236733,1.683444,2.208267,-0.11851,1.542114
constant_lambda_original_probabilities,50.0,0.562571,0.006054,0.92163,0.236358,1.682371,2.205821,-0.118484,1.540059
constant_lambda_original_probabilities,26.0,0.55045,0.006066,0.815047,0.248817,1.715608,2.275728,-0.119548,1.605006
constant_lambda_original_probabilities,52.0,0.562922,0.006405,0.92163,0.235993,1.681295,2.201727,-0.118459,1.538056
constant_lambda_original_probabilities,54.0,0.56327,0.006753,0.92163,0.23564,1.680228,2.199441,-0.118435,1.536118
constant_lambda_original_probabilities,55.0,0.563443,0.006927,0.92163,0.235465,1.679702,2.198312,-0.118423,1.535163
constant_lambda_original_probabilities,56.0,0.563615,0.007099,0.92163,0.235293,1.679181,2.197193,-0.118411,1.534216
constant_lambda_original_probabilities,58.0,0.563959,0.007442,0.92163,0.234942,1.678087,2.194897,-0.118388,1.532279
constant_lambda_original_probabilities,60.0,0.564299,0.007783,0.92163,0.23455,1.676687,2.192221,-0.118366,1.530054
constant_lambda_original_probabilities,24.0,0.547092,0.009424,0.815047,0.249185,1.707062,2.264669,-0.120698,1.592017
constant_lambda_original_probabilities,70.0,0.565966,0.00945,0.92163,0.232909,1.671409,2.181232,-0.11826,1.520941
constant_lambda_original_probabilities,80.0,0.567573,0.011057,0.92163,0.231525,1.667305,2.172038,-0.118165,1.513303
constant_lambda_original_probabilities,22.0,0.543536,0.01298,0.815047,0.249516,1.697323,2.249267,-0.121939,1.577869
constant_lambda_original_probabilities,20.0,0.538186,0.01833,0.749216,0.246593,1.663219,2.198853,-0.125532,1.515146
constant_lambda_original_probabilities,19.0,0.534975,0.021541,0.749216,0.244192,1.639177,2.163225,-0.12801,1.471663
constant_lambda_original_probabilities,18.0,0.531645,0.024871,0.68652,0.241664,1.614082,2.12561,-0.130593,1.427948
constant_lambda_original_probabilities,17.0,0.52744,0.029077,0.623824,0.238666,1.572856,2.056579,-0.135055,1.364009
constant_lambda_original_probabilities,16.0,0.522411,0.034105,0.567398,0.235194,1.518139,1.960488,-0.141192,1.286137
constant_lambda_original_probabilities,15.0,0.5171,0.039416,0.567398,0.231457,1.462011,1.864452,-0.147604,1.211138
constant_lambda_original_probabilities,14.0,0.511566,0.04495,0.567398,0.227508,1.405261,1.769684,-0.154299,1.139225
constant_lambda_original_probabilities,13.0,0.505659,0.050858,0.498433,0.223367,1.348068,1.674726,-0.161289,1.070417
constant_lambda_original_probabilities,12.0,0.499181,0.057335,0.435737,0.219275,1.291843,1.585368,-0.168586,1.0057
constant_lambda_original_probabilities,11.0,0.490523,0.065994,0.435737,0.217353,1.245685,1.513238,-0.176201,0.953968
constant_lambda_original_probabilities,10.0,0.480982,0.075535,0.369906,0.216277,1.203822,1.448464,-0.184146,0.908381
constant_lambda_original_probabilities,9.0,0.46993,0.086586,0.332288,0.216152,1.164641,1.389254,-0.192432,0.86877
constant_lambda_original_probabilities,8.0,0.455668,0.100848,0.266458,0.219162,1.138285,1.348646,-0.201072,0.842791
constant_lambda_original_probabilities,7.0,0.439165,0.117351,0.194357,0.224232,1.119939,1.31937,-0.210076,0.824945
constant_lambda_original_probabilities,6.0,0.410982,0.145534,0.0,0.240986,1.141419,1.345403,-0.219459,0.847393
constant_lambda_original_probabilities,5.0,0.358428,0.198088,0.0,0.284701,1.235452,1.474851,-0.22923,0.954716
constant_lambda_original_probabilities,4.0,0.297372,0.259144,0.0,0.338831,1.335341,1.61958,-0.239403,1.082871
constant_lambda_original_probabilities,3.0,0.226118,0.330399,0.0,0.406353,1.439367,1.775837,-0.249988,1.236663
constant_lambda_original_probabilities,2.0,0.142595,0.413922,0.0,0.491258,1.545034,1.94018,-0.260998,1.422237
