source_variable,variable_group,market_region,source_timestamp_convention,decision_timestamp_convention,same_calendar_observable_before_taiwan_decision,minimum_required_lag_tw_trading_days
TAIEX,Taiwan market index,Taiwan,Taiwan market close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0
0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0
006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0
00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0
00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0
S&P 500,U.S. broad market,United States,U.S. market close on calendar date t; after Taiwan date-t close,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,No for Taiwan same-calendar-date decisions,1
NASDAQ,U.S. technology market,United States,U.S. market close on calendar date t; after Taiwan date-t close,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,No for Taiwan same-calendar-date decisions,1
SOXX,U.S. semiconductor proxy,United States,U.S. ETF close on calendar date t; after Taiwan date-t close,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,No for Taiwan same-calendar-date decisions,1
VIX,U.S. volatility proxy,United States,U.S. market close on calendar date t; after Taiwan date-t close,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,No for Taiwan same-calendar-date decisions,1
U.S. 10-year Treasury yield,U.S. interest-rate proxy,United States,U.S. rate observation on calendar date t; not assumed observable before Taiwan date-t decision,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,No for Taiwan same-calendar-date decisions,1
Nikkei 225,Regional Asian equity markets,Japan,Japan market close; conservative audit uses latest prior observable value,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,Depends on decision timestamp,1
Hang Seng,Regional Asian equity markets,Hong Kong,Hong Kong market close; conservative audit uses latest prior observable value,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,Depends on decision timestamp,1
KOSPI,Regional Asian equity markets,Korea,Korea market close; conservative audit uses latest prior observable value,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,Depends on decision timestamp,1
USD/TWD,Foreign-exchange proxy,FX / Taiwan data source,FX/source-specific timestamp; conservative audit uses latest prior observable value,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,Depends on data timestamp,1
