feature_column,source_variable,required_lag_tw_trading_days,source_panel_path,source_panel_column,best_transform,best_lag_tw_trading_days,best_corr,best_abs_corr,best_n_obs,exact_or_near_exact_empirical_match,empirical_timestamp_violation,empirical_effective_date_used
0050_ret_lag_1d,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,pct_change_1,1,1.0,1.0,1262,True,False,t-1 Taiwan trading day(s)
0050_ret_lag_2d,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,pct_change_1,2,0.9999999999999999,0.9999999999999999,1261,True,False,t-2 Taiwan trading day(s)
0050_ret_lag_3d,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,pct_change_1,3,0.9999999999999993,0.9999999999999993,1260,True,False,t-3 Taiwan trading day(s)
0050_ret_lag_5d,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,pct_change_1,5,1.0,1.0,1258,True,False,t-5 Taiwan trading day(s)
0050_ret_lag_10d,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,logret_20,1,0.2352490618396029,0.2352490618396029,1243,False,False,t-1 Taiwan trading day(s)
0050_ret_lag_20d,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,pct_change_20,1,0.2394044687274427,0.2394044687274427,1243,False,False,t-1 Taiwan trading day(s)
0050_momentum_5d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,pct_change_5,1,0.9999999999999998,0.9999999999999998,1258,True,False,t-1 Taiwan trading day(s)
0050_volatility_5d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,rolling_std_5_pct,1,1.0,1.0,1258,True,False,t-1 Taiwan trading day(s)
0050_ma_ratio_5d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,logret_5,0,0.8089700744411974,0.8089700744411974,1259,False,False,same calendar/trading date t
0050_return_zscore_5d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,pct_change_1,1,0.7658863067735351,0.7658863067735351,1257,False,False,t-1 Taiwan trading day(s)
0050_momentum_10d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,rolling_mean_20_pct,0,0.7139938875282094,0.7139938875282094,1244,False,False,same calendar/trading date t
0050_volatility_10d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,rolling_std_20_pct,-2,0.8455018381804044,0.8455018381804044,1246,False,False,future date t+2 trading day(s)
0050_ma_ratio_10d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,logret_5,1,0.9203528628669417,0.9203528628669417,1254,False,False,t-1 Taiwan trading day(s)
0050_return_zscore_10d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,pct_change_1,1,0.8542000707906,0.8542000707906,1253,False,False,t-1 Taiwan trading day(s)
0050_momentum_20d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,pct_change_20,1,0.9999999999999999,0.9999999999999999,1243,True,False,t-1 Taiwan trading day(s)
0050_volatility_20d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,rolling_std_20_pct,1,1.0,1.0,1243,True,False,t-1 Taiwan trading day(s)
0050_ma_ratio_20d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,rolling_mean_20_pct,1,0.8632949887488718,0.8632949887488718,1243,False,False,t-1 Taiwan trading day(s)
0050_return_zscore_20d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,pct_change_1,1,0.9060786864134371,0.9060786864134371,1243,False,False,t-1 Taiwan trading day(s)
0050_momentum_60d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,logret_20,4,0.581551533110467,0.581551533110467,1203,False,False,t-4 Taiwan trading day(s)
0050_volatility_60d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,rolling_std_20_pct,5,0.6911158847299603,0.6911158847299603,1203,False,False,t-5 Taiwan trading day(s)
0050_ma_ratio_60d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,logret_20,1,0.8375808020503668,0.8375808020503668,1204,False,False,t-1 Taiwan trading day(s)
0050_return_zscore_60d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,pct_change_1,1,0.949817114197122,0.949817114197122,1203,False,False,t-1 Taiwan trading day(s)
0050_rsi_14d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,rolling_mean_20_pct,1,0.7969123676620083,0.7969123676620083,1243,False,False,t-1 Taiwan trading day(s)
0050_drawdown_60d_lag1,0050,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/0050_0050_TW.csv,Adj Close_0050.TW,logret_20,1,0.7028492156043715,0.7028492156043715,1204,False,False,t-1 Taiwan trading day(s)
006208_ret_lag_1d,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,pct_change_1,1,0.9999999999999999,0.9999999999999999,1262,True,False,t-1 Taiwan trading day(s)
006208_ret_lag_2d,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,pct_change_1,2,1.0,1.0,1261,True,False,t-2 Taiwan trading day(s)
006208_ret_lag_3d,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,pct_change_1,3,1.0,1.0,1260,True,False,t-3 Taiwan trading day(s)
006208_ret_lag_5d,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,pct_change_1,5,1.0,1.0,1258,True,False,t-5 Taiwan trading day(s)
006208_ret_lag_10d,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,logret_20,1,0.24031200402045755,0.24031200402045755,1243,False,False,t-1 Taiwan trading day(s)
006208_ret_lag_20d,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,pct_change_20,2,0.2437092600620356,0.2437092600620356,1242,False,False,t-2 Taiwan trading day(s)
006208_momentum_5d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,pct_change_5,1,0.9999999999999998,0.9999999999999998,1258,True,False,t-1 Taiwan trading day(s)
006208_volatility_5d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,rolling_std_5_pct,1,0.9999999999999999,0.9999999999999999,1258,True,False,t-1 Taiwan trading day(s)
006208_ma_ratio_5d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,logret_5,0,0.8154385621041398,0.8154385621041398,1259,False,False,same calendar/trading date t
006208_return_zscore_5d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,pct_change_1,1,0.7645323800480313,0.7645323800480313,1258,False,False,t-1 Taiwan trading day(s)
006208_momentum_10d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,rolling_mean_20_pct,0,0.7179520488894809,0.7179520488894809,1244,False,False,same calendar/trading date t
006208_volatility_10d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,rolling_std_20_pct,-2,0.8528893438163072,0.8528893438163072,1246,False,False,future date t+2 trading day(s)
006208_ma_ratio_10d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,logret_5,1,0.9217824071319475,0.9217824071319475,1254,False,False,t-1 Taiwan trading day(s)
006208_return_zscore_10d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,pct_change_1,1,0.8506208808908015,0.8506208808908015,1253,False,False,t-1 Taiwan trading day(s)
006208_momentum_20d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,pct_change_20,1,0.9999999999999998,0.9999999999999998,1243,True,False,t-1 Taiwan trading day(s)
006208_volatility_20d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,rolling_std_20_pct,1,1.0,1.0,1243,True,False,t-1 Taiwan trading day(s)
006208_ma_ratio_20d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,rolling_mean_20_pct,1,0.8647640121623287,0.8647640121623287,1243,False,False,t-1 Taiwan trading day(s)
006208_return_zscore_20d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,pct_change_1,1,0.9015418470250804,0.9015418470250804,1243,False,False,t-1 Taiwan trading day(s)
006208_momentum_60d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,logret_20,4,0.5848148516356931,0.5848148516356931,1203,False,False,t-4 Taiwan trading day(s)
006208_volatility_60d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,rolling_std_20_pct,5,0.7036112710395628,0.7036112710395628,1203,False,False,t-5 Taiwan trading day(s)
006208_ma_ratio_60d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,logret_20,1,0.8389343278818324,0.8389343278818324,1204,False,False,t-1 Taiwan trading day(s)
006208_return_zscore_60d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,pct_change_1,1,0.9466163999200151,0.9466163999200151,1203,False,False,t-1 Taiwan trading day(s)
006208_rsi_14d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,rolling_mean_20_pct,1,0.7942256713522299,0.7942256713522299,1243,False,False,t-1 Taiwan trading day(s)
006208_drawdown_60d_lag1,006208,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/006208_006208_TW.csv,Adj Close_006208.TW,logret_20,1,0.6970106653040733,0.6970106653040733,1204,False,False,t-1 Taiwan trading day(s)
00692_ret_lag_1d,00692,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/00692_00692_TW.csv,Adj Close_00692.TW,pct_change_1,1,1.0,1.0,1262,True,False,t-1 Taiwan trading day(s)
00692_ret_lag_2d,00692,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/00692_00692_TW.csv,Adj Close_00692.TW,pct_change_1,2,0.9999999999999997,0.9999999999999997,1261,True,False,t-2 Taiwan trading day(s)
00692_ret_lag_3d,00692,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/00692_00692_TW.csv,Adj Close_00692.TW,pct_change_1,3,1.0,1.0,1260,True,False,t-3 Taiwan trading day(s)
00692_ret_lag_5d,00692,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/00692_00692_TW.csv,Adj Close_00692.TW,pct_change_1,5,1.0,1.0,1258,True,False,t-5 Taiwan trading day(s)
00692_ret_lag_10d,00692,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/00692_00692_TW.csv,Adj Close_00692.TW,logret_20,1,0.2368676445236787,0.2368676445236787,1243,False,False,t-1 Taiwan trading day(s)
00692_ret_lag_20d,00692,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/00692_00692_TW.csv,Adj Close_00692.TW,pct_change_20,1,0.23982883102466482,0.23982883102466482,1243,False,False,t-1 Taiwan trading day(s)
00692_momentum_5d_lag1,00692,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/00692_00692_TW.csv,Adj Close_00692.TW,pct_change_5,1,1.0,1.0,1258,True,False,t-1 Taiwan trading day(s)
00692_volatility_5d_lag1,00692,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/00692_00692_TW.csv,Adj Close_00692.TW,rolling_std_5_pct,1,1.0,1.0,1258,True,False,t-1 Taiwan trading day(s)
00692_ma_ratio_5d_lag1,00692,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/00692_00692_TW.csv,Adj Close_00692.TW,logret_5,0,0.812791980941016,0.812791980941016,1259,False,False,same calendar/trading date t
00692_return_zscore_5d_lag1,00692,0,/content/drive/MyDrive/AURORA_TWETF/data/raw_yfinance/00692_00692_TW.csv,Adj Close_00692.TW,pct_change_1,1,0.7561647304049668,0.7561647304049668,1258,False,False,t-1 Taiwan trading day(s)
