comparison,metric_label,block_length,observed_difference,ci95_lower,ci95_upper,result,bootstrap_replications,ci_type,strategy_name,comparator_name,metric,source_file
AURORA10-UAMV-B vs ROMA-P4,Total return,5,-0.14250847276725254,-0.624115827034046,0.1492221449569354,Not significant,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sharpe,5,0.5720613044837561,0.0211650956329222,1.0905039419068,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sortino,5,1.1199029218713807,0.13173999725985266,2.2292963404775312,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Max-drawdown improvement,5,0.12484691877678156,0.02812315397471512,0.16478744561080833,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Total return,10,-0.14250847276725254,-0.5703329929912146,0.1397560259742814,Not significant,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sharpe,10,0.5720613044837561,0.03339491411789109,1.0711783564667852,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sortino,10,1.1199029218713807,0.16906565577677005,2.285368679784844,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Max-drawdown improvement,10,0.12484691877678156,0.028153100925355768,0.16777694437040228,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Total return,20,-0.14250847276725254,-0.6148304739964459,0.13879156890043026,Not significant,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sharpe,20,0.5720613044837561,0.022113212320647904,1.0963859909217728,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sortino,20,1.1199029218713807,0.1619732291367974,2.3462974551672366,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Max-drawdown improvement,20,0.12484691877678156,0.031244259180899583,0.16655276453359366,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Total return,40,-0.14250847276725254,-0.6058649649574791,0.13699914867617072,Not significant,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sharpe,40,0.5720613044837561,0.027463446305625763,1.0559158173110463,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sortino,40,1.1199029218713807,0.1809706427907216,2.2092164596919672,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Max-drawdown improvement,40,0.12484691877678156,0.03154279395706994,0.1777891639880548,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Total return,60,-0.14250847276725254,-0.5777543717513609,0.1391888020043613,Not significant,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sharpe,60,0.5720613044837561,0.033865604933004716,1.0386728194700183,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sortino,60,1.1199029218713807,0.16406258763829945,2.125895755586691,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Max-drawdown improvement,60,0.12484691877678156,0.03154279395707016,0.1792221258824262,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Total return,5,-0.00023168124142869395,-0.0005670238226708924,4.495993202617283e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sharpe,5,-0.0011044252532228516,-0.0029135095708965513,0.000588558803543408,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sortino,5,-0.0018027315910633668,-0.005412078284158128,0.0007473947633205458,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Max-drawdown improvement,5,-8.103288360650218e-06,-0.0001073209472060771,4.455372142072029e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Total return,10,-0.00023168124142869395,-0.0005541790113114453,3.470372037832055e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sharpe,10,-0.0011044252532228516,-0.002939519842898708,0.0005744652750607613,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sortino,10,-0.0018027315910633668,-0.00521065763311013,0.0006723258279531794,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Max-drawdown improvement,10,-8.103288360650218e-06,-0.00012119359952837138,3.318502311331628e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Total return,20,-0.00023168124142869395,-0.0006043479485815962,4.9872881494272764e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sharpe,20,-0.0011044252532228516,-0.00305823550223121,0.000643271467587335,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sortino,20,-0.0018027315910633668,-0.005317284234700953,0.0007155751205195173,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Max-drawdown improvement,20,-8.103288360650218e-06,-0.0001452621096753398,2.7591758166173255e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Total return,40,-0.00023168124142869395,-0.0006251723123320507,5.16760237961433e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sharpe,40,-0.0011044252532228516,-0.002972551704278276,0.0007133149072146344,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sortino,40,-0.0018027315910633668,-0.004767015393139817,0.0008173683762970671,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Max-drawdown improvement,40,-8.103288360650218e-06,-0.00011649106921149955,2.655057599075805e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Total return,60,-0.00023168124142869395,-0.0006400945326003715,2.906578495316937e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sharpe,60,-0.0011044252532228516,-0.002832070487584426,0.0006987373850216049,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sortino,60,-0.0018027315910633668,-0.004643895480011784,0.0011544689463148783,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Max-drawdown improvement,60,-8.103288360650218e-06,-0.00011043097743801689,2.3478804193954872e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
