comparison,metric_label,block_length,observed_difference,ci95_lower,ci95_upper,result,bootstrap_replications,ci_type,strategy_name,comparator_name,metric,source_file
AURORA10-UAMV-B vs ROMA-P4,Total return,5,-0.142508,-0.624116,0.149222,Not significant,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sharpe,5,0.572061,0.021165,1.090504,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sortino,5,1.119903,0.13174,2.229296,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Max-drawdown improvement,5,0.124847,0.028123,0.164787,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Total return,10,-0.142508,-0.570333,0.139756,Not significant,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sharpe,10,0.572061,0.033395,1.071178,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sortino,10,1.119903,0.169066,2.285369,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Max-drawdown improvement,10,0.124847,0.028153,0.167777,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Total return,20,-0.142508,-0.61483,0.138792,Not significant,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sharpe,20,0.572061,0.022113,1.096386,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sortino,20,1.119903,0.161973,2.346297,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Max-drawdown improvement,20,0.124847,0.031244,0.166553,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Total return,40,-0.142508,-0.605865,0.136999,Not significant,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sharpe,40,0.572061,0.027463,1.055916,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Sortino,40,1.119903,0.180971,2.209216,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
AURORA10-UAMV-B vs ROMA-P4,Max-drawdown improvement,40,0.124847,0.031543,0.177789,Significant positive,5000,percentile,AURORA10-UAMV-B,ROMA-P4,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/ROMA_AURORA_TWETF/source_aware_unified_paper_comparison/run_20260625_065916/returns/notebook13B_source_aware_strict_test_return_matrix.parquet
