strategy_control,input_source,cash_return_scenario,annual_cash_return,annual_risk_free_rate,n_days,avg_cash_weight,total_return,annual_return,max_drawdown,sharpe_zero_rf,sharpe_nonzero_rf,sortino_zero_rf,sortino_nonzero_rf,calmar
Original dynamic AURORA,Notebook18 returns and weights,zero_cash_return,0.0,0.0,319,0.5565162732224096,0.24228398498423598,0.18694760018554302,-0.11895671772570882,1.698816564437738,1.698816564437738,2.242180945726774,2.242180945726774,1.5715598392400842
Original dynamic AURORA,Notebook18 returns and weights,low_cash_yield_1pct,0.01,0.01,319,0.5565162732224096,0.2510171569190618,0.19353437319143985,-0.11781042717042622,1.7520252335106783,1.6564381186636463,2.312079553898043,2.185936956390426,1.6427609833845207
Original dynamic AURORA,Notebook18 returns and weights,mid_cash_yield_1p5pct,0.015,0.015,319,0.5565162732224096,0.2553741922739827,0.1968169429059261,-0.11724097040744785,1.7784329565817092,1.6354047027014125,2.3467629021510086,2.1580274207692036,1.6787386032538596
Original dynamic AURORA,Notebook18 returns and weights,higher_cash_yield_2pct,0.02,0.02,319,0.5565162732224096,0.25972491484377036,0.20009236980321843,-0.11667394253494934,1.8047113029981525,1.6144738161492387,2.381271267025162,2.1302576779863953,1.7149705020320312
Ex post constant-lambda AURORA,Notebook18 returns and weights,zero_cash_return,0.0,0.0,319,0.5564982742007926,0.24251566622566534,0.18712246518240838,-0.11894861443734772,1.6999209896909568,1.6999209896909568,2.243983677317831,2.243983677317831,1.5731369891741698
Ex post constant-lambda AURORA,Notebook18 returns and weights,low_cash_yield_1pct,0.01,0.01,319,0.5564982742007926,0.2512501792515258,0.1937099918167633,-0.11780208369516076,1.753117659527865,1.6575491950054693,2.313876511156774,2.1877391557637282,1.6443681278001094
Ex post constant-lambda AURORA,Notebook18 returns and weights,mid_cash_yield_1p5pct,0.015,0.015,319,0.5564982742007926,0.25560788292901027,0.1969929366565284,-0.11723250750228997,1.779519428250615,1.63651907733142,2.3485569839264566,2.1598293603200274,1.6803610265922224
Ex post constant-lambda AURORA,Notebook18 returns and weights,higher_cash_yield_2pct,0.02,0.02,319,0.5564982742007926,0.25995927235294713,0.20026873756465036,-0.1166653606372674,1.80579185007153,1.6155914711692623,2.3830624809911063,2.1320593618805996,1.7166083957629907
Ex post no-probability constant-lambda AURORA,Notebook18 returns and weights,zero_cash_return,0.0,0.0,319,0.5564996267553532,0.24249176254124882,0.18710442382409087,-0.11894488873249975,1.6998215116502162,1.6998215116502162,2.2438533665389273,2.2438533665389273,1.5730345861677
Ex post no-probability constant-lambda AURORA,Notebook18 returns and weights,low_cash_yield_1pct,0.01,0.01,319,0.5564996267553532,0.2512261293786906,0.1936918668092571,-0.11779834547799051,1.7530198664164103,1.6574486115159064,2.31374844519359,2.1876073519478645,1.6442664455371876
Ex post no-probability constant-lambda AURORA,Notebook18 returns and weights,mid_cash_yield_1p5pct,0.015,0.015,319,0.5564996267553532,0.25558376017866946,0.19697476999561037,-0.11722876306556951,1.7794224714839748,1.6364179451370313,2.3484300313316346,2.159696816105099,1.6802597318666286
Ex post no-probability constant-lambda AURORA,Notebook18 returns and weights,higher_cash_yield_2pct,0.02,0.02,319,0.5564996267553532,0.25993507686827666,0.200250529363303,-0.11666161000511877,1.8056957256215347,1.615489792915868,2.382936635818275,2.131926081291816,1.716507507092664
AURORA10-UAMV-B source-aware,source-aware returns + weights from /content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/weights/all_notebook18_weights.csv,zero_cash_return,0.0,0.0,2552,0.5559353693225971,12.269563843534677,0.29085569200627814,-0.6297275750310903,2.2637695025591356,2.2637695025591356,3.299367088777857,3.299367088777857,0.4618754260394557
AURORA10-UAMV-B source-aware,source-aware returns + weights from /content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/weights/all_notebook18_weights.csv,low_cash_yield_1pct,0.01,0.01,2552,0.5559353693225971,13.033364144195968,0.2980090846744272,-0.6259275201495174,2.3115361105024848,2.2256031699361585,3.3686441419620037,3.243412485175384,0.4761079758935041
AURORA10-UAMV-B source-aware,source-aware returns + weights from /content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/weights/all_notebook18_weights.csv,mid_cash_yield_1p5pct,0.015,0.015,2552,0.5559353693225971,13.428607560907691,0.30157401367175285,-0.6243507585290342,2.3352425224232647,2.2066605954053697,3.401819352748131,3.215645048631597,0.4830201766427881
AURORA10-UAMV-B source-aware,source-aware returns + weights from /content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/weights/all_notebook18_weights.csv,higher_cash_yield_2pct,0.02,0.02,2552,0.5559353693225971,13.83296149021823,0.30513117220125974,-0.6227751354144647,2.3588325400459356,2.187810533012828,3.434909085338085,3.1880157012975094,0.4899540056270729
ROMA-P4 source-aware,source-aware returns + weights from /content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/weights/all_notebook18_weights.csv,zero_cash_return,0.0,0.0,2552,0.5559353693225971,28.10341514080173,0.3949502820337889,-0.8905971638432683,1.6909217046996863,1.6909217046996863,2.1760185373216037,2.1760185373216037,0.44346680864042615
ROMA-P4 source-aware,source-aware returns + weights from /content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/weights/all_notebook18_weights.csv,low_cash_yield_1pct,0.01,0.01,2552,0.5559353693225971,29.778162001084432,0.4026784768925473,-0.8894607262904268,1.7172487050556924,1.6698796693888736,2.207980051253891,2.149003460060284,0.45272204268304556
ROMA-P4 source-aware,source-aware returns + weights from /content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/weights/all_notebook18_weights.csv,mid_cash_yield_1p5pct,0.015,0.015,2552,0.5559353693225971,30.644783009984007,0.40652985724021296,-0.8888923375346591,1.730314823656474,1.6594363148548943,2.224813637820388,2.135594987114446,0.45734431502438483
ROMA-P4 source-aware,source-aware returns + weights from /content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/weights/all_notebook18_weights.csv,higher_cash_yield_2pct,0.02,0.02,2552,0.5559353693225971,31.531373479655585,0.41037283997154783,-0.888323836142931,1.7433168694605963,1.6490440599786498,2.2415651473804648,2.122251699560301,0.46196310768083343
ROMA-B12 source-aware,source-aware returns + weights from /content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/weights/all_notebook18_weights.csv,zero_cash_return,0.0,0.0,2552,0.5559353693225971,54.5374306949862,0.48686319071494344,-0.5472626023466299,2.308424052939805,2.308424052939805,2.9274351696936765,2.9274351696936765,0.8896335847311742
ROMA-B12 source-aware,source-aware returns + weights from /content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/weights/all_notebook18_weights.csv,low_cash_yield_1pct,0.01,0.01,2552,0.5559353693225971,57.732370301657795,0.49509822050760355,-0.5467434770848026,2.3393294022869444,2.283710322726725,2.966747728946712,3.185345829649026,0.9055402419200903
ROMA-B12 source-aware,source-aware returns + weights from /content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/weights/all_notebook18_weights.csv,mid_cash_yield_1p5pct,0.015,0.015,2552,0.5559353693225971,59.38561636375927,0.4992021794551824,-0.5464856147619896,2.354667637537912,2.271444650522698,2.987982810295358,3.1681836686812703,0.9134772553392818
ROMA-B12 source-aware,source-aware returns + weights from /content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/weights/all_notebook18_weights.csv,higher_cash_yield_2pct,0.02,0.02,2552,0.5559353693225971,61.07694455241906,0.5032971868570939,-0.546228871978951,2.3699305763599696,2.2592389808867845,3.0074143328797005,3.1511059941485637,0.921403486113214
