strategy_control,input_source,cash_return_scenario,annual_cash_return,annual_risk_free_rate,n_days,avg_cash_weight,total_return,annual_return,max_drawdown,sharpe_zero_rf,sharpe_nonzero_rf,sortino_zero_rf,sortino_nonzero_rf,calmar
Original dynamic AURORA,Notebook18 returns and weights,zero_cash_return,0.0,0.0,319,0.556516,0.242284,0.186948,-0.118957,1.698817,1.698817,2.242181,2.242181,1.57156
Original dynamic AURORA,Notebook18 returns and weights,low_cash_yield_1pct,0.01,0.01,319,0.556516,0.251017,0.193534,-0.11781,1.752025,1.656438,2.31208,2.185937,1.642761
Original dynamic AURORA,Notebook18 returns and weights,mid_cash_yield_1p5pct,0.015,0.015,319,0.556516,0.255374,0.196817,-0.117241,1.778433,1.635405,2.346763,2.158027,1.678739
Original dynamic AURORA,Notebook18 returns and weights,higher_cash_yield_2pct,0.02,0.02,319,0.556516,0.259725,0.200092,-0.116674,1.804711,1.614474,2.381271,2.130258,1.714971
Ex post constant-lambda AURORA,Notebook18 returns and weights,zero_cash_return,0.0,0.0,319,0.556498,0.242516,0.187122,-0.118949,1.699921,1.699921,2.243984,2.243984,1.573137
Ex post constant-lambda AURORA,Notebook18 returns and weights,low_cash_yield_1pct,0.01,0.01,319,0.556498,0.25125,0.19371,-0.117802,1.753118,1.657549,2.313877,2.187739,1.644368
Ex post constant-lambda AURORA,Notebook18 returns and weights,mid_cash_yield_1p5pct,0.015,0.015,319,0.556498,0.255608,0.196993,-0.117233,1.779519,1.636519,2.348557,2.159829,1.680361
Ex post constant-lambda AURORA,Notebook18 returns and weights,higher_cash_yield_2pct,0.02,0.02,319,0.556498,0.259959,0.200269,-0.116665,1.805792,1.615591,2.383062,2.132059,1.716608
Ex post no-probability constant-lambda AURORA,Notebook18 returns and weights,zero_cash_return,0.0,0.0,319,0.5565,0.242492,0.187104,-0.118945,1.699822,1.699822,2.243853,2.243853,1.573035
Ex post no-probability constant-lambda AURORA,Notebook18 returns and weights,low_cash_yield_1pct,0.01,0.01,319,0.5565,0.251226,0.193692,-0.117798,1.75302,1.657449,2.313748,2.187607,1.644266
Ex post no-probability constant-lambda AURORA,Notebook18 returns and weights,mid_cash_yield_1p5pct,0.015,0.015,319,0.5565,0.255584,0.196975,-0.117229,1.779422,1.636418,2.34843,2.159697,1.68026
Ex post no-probability constant-lambda AURORA,Notebook18 returns and weights,higher_cash_yield_2pct,0.02,0.02,319,0.5565,0.259935,0.200251,-0.116662,1.805696,1.61549,2.382937,2.131926,1.716508
