scenario_name,n_days,start_date,end_date,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,hit_rate,avg_daily_return,avg_turnover,total_turnover,total_transaction_cost,final_equity,run_id,base_policy_name,series_name,series_type,period,rebalance_frequency,transaction_cost_rate,alpha_20d,alpha_60d,min_confidence_for_full_risk,max_confidence_for_min_risk,uncertainty_cash_boost_max,max_etf_weight,max_00881_weight,max_cash_weight,min_cash_weight,template_variant,rank_total_return,rank_sharpe,rank_sortino,rank_drawdown,rank_calmar,stress_composite_rank
S00_baseline_quarterly_10bps,190,2025-06-13,2026-03-25,0.5919247777770917,0.8527339353855736,0.19059243381126867,4.474122704314594,6.66117231467436,-0.08656229616953892,9.851101150498925,0.5842105263157895,0.0024847750012364977,0.00022370991088231995,0.04250488306764079,4.250488306764079e-05,1.580800872170256,20260624_012818,P4_calibrated_linear_60d,S00_baseline_quarterly_10bps__P4_calibrated_linear_60d,active,test_only,quarterly,0.001,0.6,0.4,0.55,0.2,0.2,0.45,0.35,0.5,0.0,baseline,87.0,88.0,88.0,51.0,89.0,80.6
S01_zero_transaction_cost,190,2025-06-13,2026-03-25,0.5919920956891536,0.8528378486737069,0.1905932350596291,4.474649104974201,6.661984038342572,-0.08656229616953881,9.852301595643436,0.5842105263157895,0.00248499871114738,0.00022370991088231995,0.04250488306764079,0.0,1.580867719684401,20260624_012818,P4_calibrated_linear_60d,S01_zero_transaction_cost__P4_calibrated_linear_60d,active,test_only,quarterly,0.0,0.6,0.4,0.55,0.2,0.2,0.45,0.35,0.5,0.0,baseline,86.0,87.0,87.0,50.0,88.0,79.6
S02_high_transaction_cost_25bps,190,2025-06-13,2026-03-25,0.5918238037633079,0.8525780725477674,0.19059124282004147,4.473332876856162,6.659954784590241,-0.08656229616953859,9.849300564739305,0.5842105263157895,0.002484439436370174,0.00022370991088231995,0.04250488306764079,0.00010626220766910197,1.5807006037334026,20260624_012818,P4_calibrated_linear_60d,S02_high_transaction_cost_25bps__P4_calibrated_linear_60d,active,test_only,quarterly,0.0025,0.6,0.4,0.55,0.2,0.2,0.45,0.35,0.5,0.0,baseline,94.0,95.0,95.0,49.0,96.0,85.8
S03_monthly_rebalance,190,2025-06-13,2026-03-25,0.5982269317228137,0.8624682782463684,0.1905443998398798,4.526337583109902,6.77387010544439,-0.08621087534384897,10.004170295295632,0.5842105263157895,0.002505748704436982,0.000724345302555608,0.13762560748556552,0.00013762560748556548,1.5871102584858836,20260624_012818,P4_calibrated_linear_60d,S03_monthly_rebalance__P4_calibrated_linear_60d,active,test_only,monthly,0.001,0.6,0.4,0.55,0.2,0.2,0.45,0.35,0.5,0.0,baseline,79.0,75.0,72.0,46.0,75.0,69.4
S04_quarterly_rebalance,190,2025-06-13,2026-03-25,0.5919247777770917,0.8527339353855736,0.19059243381126867,4.474122704314594,6.66117231467436,-0.08656229616953892,9.851101150498925,0.5842105263157895,0.0024847750012364977,0.00022370991088231995,0.04250488306764079,4.250488306764079e-05,1.580800872170256,20260624_012818,P4_calibrated_linear_60d,S04_quarterly_rebalance__P4_calibrated_linear_60d,active,test_only,quarterly,0.001,0.6,0.4,0.55,0.2,0.2,0.45,0.35,0.5,0.0,baseline,87.0,88.0,88.0,51.0,89.0,80.6
S05_no_uncertainty_cash_boost,190,2025-06-13,2026-03-25,0.6615473060456891,0.9609634087446464,0.20784426537096734,4.6234780980340595,6.898111008773539,-0.09387782096821917,10.236319919163495,0.5842105263157895,0.0027209444406989538,0.0,0.0,0.0,1.6489172696902314,20260624_012818,P1_validation_selected,S05_no_uncertainty_cash_boost__P1_validation_selected,active,test_only,quarterly,0.001,0.6,0.4,0.55,0.2,0.0,0.45,0.35,0.5,0.0,baseline,20.0,21.0,41.0,129.0,24.0,47.0
S06_low_cash_boost_10pct,190,2025-06-13,2026-03-25,0.6262231974186006,0.9058625213412137,0.1991740604604224,4.548094863594029,6.778710841437538,-0.09020760683586704,10.041974874573857,0.5842105263157895,0.0026022240118173294,0.00011364836296205055,0.021593188962789604,2.1593188962789604e-05,1.6143628987217102,20260624_012818,P4_calibrated_linear_60d,S06_low_cash_boost_10pct__P4_calibrated_linear_60d,active,test_only,quarterly,0.001,0.6,0.4,0.55,0.2,0.1,0.45,0.35,0.5,0.0,baseline,70.0,70.0,70.0,100.0,71.0,76.2
S07_high_cash_boost_30pct,190,2025-06-13,2026-03-25,0.5589185154289638,0.8019583152340077,0.18216941333998346,4.402266552493694,6.546694950750716,-0.08296931609338531,9.665721654634002,0.5842105263157895,0.0023696407432967294,0.00032747034937519523,0.06221936638128709,6.22193663812871e-05,1.5484934748999326,20260624_012818,P4_calibrated_linear_60d,S07_high_cash_boost_30pct__P4_calibrated_linear_60d,active,test_only,quarterly,0.001,0.6,0.4,0.55,0.2,0.3,0.45,0.35,0.5,0.0,baseline,160.0,160.0,158.0,11.0,148.0,127.4
S08_low_00881_cap_25pct,190,2025-06-13,2026-03-25,0.5919247777770917,0.8527339353855736,0.19059243381126867,4.474122704314594,6.66117231467436,-0.08656229616953892,9.851101150498925,0.5842105263157895,0.0024847750012364977,0.00022370991088231995,0.04250488306764079,4.250488306764079e-05,1.580800872170256,20260624_012818,P4_calibrated_linear_60d,S08_low_00881_cap_25pct__P4_calibrated_linear_60d,active,test_only,quarterly,0.001,0.6,0.4,0.55,0.2,0.2,0.45,0.25,0.5,0.0,baseline,87.0,88.0,88.0,51.0,89.0,80.6
S09_baseline_00881_cap_35pct,190,2025-06-13,2026-03-25,0.5919247777770917,0.8527339353855736,0.19059243381126867,4.474122704314594,6.66117231467436,-0.08656229616953892,9.851101150498925,0.5842105263157895,0.0024847750012364977,0.00022370991088231995,0.04250488306764079,4.250488306764079e-05,1.580800872170256,20260624_012818,P4_calibrated_linear_60d,S09_baseline_00881_cap_35pct__P4_calibrated_linear_60d,active,test_only,quarterly,0.001,0.6,0.4,0.55,0.2,0.2,0.45,0.35,0.5,0.0,baseline,87.0,88.0,88.0,51.0,89.0,80.6
