n_days,start_date,end_date,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,hit_rate,avg_daily_return,avg_turnover,total_turnover,total_transaction_cost,final_equity,run_id,policy_name,policy_type,period,rebalance_frequency,transaction_cost_rate,rank_total_return,rank_sharpe,rank_sortino,rank_drawdown,rank_calmar,allocation_composite_rank
319,2024-11-27,2026-03-25,0.6867043980409717,0.5113104137803501,0.24760809111481555,2.06499881113843,2.704956674007392,-0.274849905811434,1.8603259559824787,0.5360501567398119,0.0017126780497909368,0.003134796238244514,1.0,0.001,1.6605856257448104,20260624_070827,B3_0050_only,passive_benchmark,aligned_strict_test_only,monthly,0.001,5.0,2.0,2.0,14.0,2.0,5.0
319,2024-11-27,2026-03-25,0.7787828581625291,0.5761199936693309,0.26953980420348056,2.1374208361241047,2.7097709314725646,-0.30001232850770443,1.9203210632543586,0.554858934169279,0.001895975393015669,0.003134796238244514,1.0,0.001,1.7476995976392655,20260624_070827,B6_00881_only,passive_benchmark,aligned_strict_test_only,monthly,0.001,1.0,1.0,1.0,23.0,1.0,5.4
319,2024-11-27,2026-03-25,0.6885844433877006,0.5126409970674151,0.2494897112075076,2.0547580683238564,2.653426661349689,-0.27847068059260094,1.8409155174845941,0.5642633228840125,0.0017146504143631558,0.003134796238244514,1.0,0.001,1.6605980974597254,20260624_070827,B1_equal_weight_all_etfs,passive_benchmark,aligned_strict_test_only,monthly,0.001,3.0,3.0,6.0,19.0,5.0,7.2
319,2024-11-27,2026-03-25,0.6885844433877006,0.5126409970674151,0.2494897112075076,2.0547580683238564,2.653426661349689,-0.27847068059260094,1.8409155174845941,0.5642633228840125,0.0017146504143631558,0.003134796238244514,1.0,0.001,1.6605980974597254,20260624_070827,B16_minimum_variance_126d,dynamic_financial_baseline,aligned_strict_test_only,monthly,0.001,3.0,3.0,6.0,19.0,5.0,7.2
319,2024-11-27,2026-03-25,0.6904065604856624,0.5139302853282322,0.25047372235829074,2.0518331443690503,2.6874387100966777,-0.27848799062618834,1.8454306922630486,0.554858934169279,0.001718675338769312,0.02037617554858934,6.5,0.006500000000000001,1.662230986403262,20260624_070827,B10_momentum_top2_63d,dynamic_financial_baseline,aligned_strict_test_only,monthly,0.001,2.0,6.0,3.0,21.0,4.0,7.2
319,2024-11-27,2026-03-25,0.6229373778202354,0.4659926736738067,0.22691874500448955,2.053566238719446,2.687058689610897,-0.2549005874671597,1.8281349537252172,0.5611285266457681,0.0015734576151048977,0.003634728837892824,1.1594784992878109,0.001159478499287811,1.5984318528638828,20260624_070827,AURORA_P0_purged_wf_baseline_60_40,AURORA_purged_walk_forward,aligned_strict_test_only,monthly,0.001,13.0,5.0,4.0,7.0,11.0,8.0
319,2024-11-27,2026-03-25,0.6803169406168392,0.506787424926354,0.25032019867495414,2.024556658268028,2.6813963479980796,-0.2744931922459313,1.8462659156672252,0.5454545454545454,0.0017104618970645623,0.003134796238244514,1.0,0.001,1.657995738444837,20260624_070827,B4_006208_only,passive_benchmark,aligned_strict_test_only,monthly,0.001,8.0,11.0,5.0,13.0,3.0,8.0
319,2024-11-27,2026-03-25,0.6854040656020164,0.5103899342776015,0.24912753945605928,2.048709409613959,2.643718501825091,-0.278210628652223,1.8345450594398895,0.5642633228840125,0.0017082016568923657,0.0033281257106638233,1.0616721017017596,0.0010616721017017597,1.6573799958116529,20260624_070827,B17_risk_parity_proxy_126d,dynamic_financial_baseline,aligned_strict_test_only,monthly,0.001,6.0,7.0,10.0,18.0,8.0,9.8
319,2024-11-27,2026-03-25,0.6851010493460954,0.5101754136636663,0.24905221306921463,2.048467698305023,2.6434980861282615,-0.2780597262616151,1.8347691717989498,0.5642633228840125,0.0017075319285503867,0.003515186357265112,1.1213444479675707,0.0011213444479675708,1.657065878868373,20260624_070827,B14_inverse_volatility_63d,dynamic_financial_baseline,aligned_strict_test_only,monthly,0.001,7.0,8.0,11.0,17.0,7.0,10.0
319,2024-11-27,2026-03-25,0.6790426814765473,0.5058846842908951,0.2478601265563912,2.0410087387565348,2.64928612751994,-0.2758229044590199,1.8340923690985798,0.5611285266457681,0.001696211929774677,0.003156267766935983,1.0068494176525786,0.0010068494176525787,1.6517332945688774,20260624_070827,AURORA_P3_purged_wf_no_cash_boost,AURORA_purged_walk_forward,aligned_strict_test_only,monthly,0.001,9.0,9.0,8.0,15.0,9.0,10.0
319,2024-11-27,2026-03-25,0.6790286532470835,0.5058747452819807,0.2478845600086466,2.0407674655667747,2.648993284898249,-0.2758809568014332,1.8336704031590219,0.5611285266457681,0.001696209872404364,0.003134796238244514,1.0,0.001,1.6517194945065412,20260624_070827,B2_equal_weight_constrained,passive_benchmark,aligned_strict_test_only,monthly,0.001,10.0,10.0,9.0,16.0,10.0,11.0
