policy_name,control_type,kappa,shuffle_id,probability_order,n_days,weighted_brier,avg_entropy,avg_bearish_probability,avg_dynamic_lambda,total_return,sharpe,sortino,max_drawdown,avg_cash,cash_cap_binding_frequency,avg_equity_exposure,total_turnover
constant_lambda_no_probability_lambda_34,constant_lambda_no_probability,,,none,319,,0.912322,0.226299,37.334043,0.243034,1.747023,2.25048,-0.11693,0.58454,0.238245,0.41546,0.313097
oracle_ordered_kappa_0_0,ordered_oracle_probability,0.0,,ordered,319,0.825278,0.912322,0.226299,37.334043,0.240944,1.741839,2.241516,-0.116911,0.586488,0.250784,0.413512,0.325795
oracle_shuffled_kappa_0_0_seed_0,shuffled_oracle_probability,0.0,0.0,shuffled,319,0.825278,0.912322,0.226299,37.334043,0.240944,1.741839,2.241516,-0.116911,0.586488,0.250784,0.413512,0.325795
oracle_shuffled_kappa_0_0_seed_1,shuffled_oracle_probability,0.0,1.0,shuffled,319,0.825278,0.912322,0.226299,37.334043,0.240944,1.741839,2.241516,-0.116911,0.586488,0.250784,0.413512,0.325795
oracle_shuffled_kappa_0_0_seed_2,shuffled_oracle_probability,0.0,2.0,shuffled,319,0.825278,0.912322,0.226299,37.334043,0.240944,1.741839,2.241516,-0.116911,0.586488,0.250784,0.413512,0.325795
oracle_shuffled_kappa_0_0_seed_3,shuffled_oracle_probability,0.0,3.0,shuffled,319,0.825278,0.912322,0.226299,37.334043,0.240944,1.741839,2.241516,-0.116911,0.586488,0.250784,0.413512,0.325795
oracle_shuffled_kappa_0_0_seed_4,shuffled_oracle_probability,0.0,4.0,shuffled,319,0.825278,0.912322,0.226299,37.334043,0.240944,1.741839,2.241516,-0.116911,0.586488,0.250784,0.413512,0.325795
oracle_ordered_kappa_0_1,ordered_oracle_probability,0.1,,ordered,319,0.668475,0.920276,0.220848,37.423851,0.241035,1.742169,2.242079,-0.116909,0.586412,0.250784,0.413588,0.325661
oracle_shuffled_kappa_0_1_seed_0,shuffled_oracle_probability,0.1,0.0,shuffled,319,0.776751,0.920719,0.220848,37.434936,0.241147,1.742646,2.242947,-0.116911,0.586338,0.250784,0.413662,0.32517
oracle_shuffled_kappa_0_1_seed_1,shuffled_oracle_probability,0.1,1.0,shuffled,319,0.773428,0.920735,0.220848,37.435327,0.240449,1.74029,2.238818,-0.116911,0.586908,0.250784,0.413092,0.327256
oracle_shuffled_kappa_0_1_seed_2,shuffled_oracle_probability,0.1,2.0,shuffled,319,0.779635,0.920821,0.220848,37.43749,0.2408,1.741219,2.240406,-0.116912,0.586622,0.250784,0.413378,0.325947
oracle_shuffled_kappa_0_1_seed_3,shuffled_oracle_probability,0.1,3.0,shuffled,319,0.779196,0.920767,0.220848,37.436138,0.240849,1.741662,2.241261,-0.116911,0.586571,0.250784,0.413429,0.32647
oracle_shuffled_kappa_0_1_seed_4,shuffled_oracle_probability,0.1,4.0,shuffled,319,0.776876,0.9208,0.220848,37.436966,0.241015,1.742307,2.242322,-0.116909,0.586447,0.250784,0.413553,0.326328
oracle_ordered_kappa_0_25,ordered_oracle_probability,0.25,,ordered,319,0.464219,0.902621,0.212671,36.818941,0.241457,1.743312,2.244028,-0.116908,0.58604,0.250784,0.41396,0.322989
oracle_shuffled_kappa_0_25_seed_0,shuffled_oracle_probability,0.25,0.0,shuffled,319,0.748388,0.904861,0.212671,36.874953,0.241394,1.742969,2.243475,-0.116916,0.586065,0.247649,0.413935,0.322823
oracle_shuffled_kappa_0_25_seed_1,shuffled_oracle_probability,0.25,1.0,shuffled,319,0.737259,0.90524,0.212671,36.884412,0.240378,1.74024,2.238634,-0.116916,0.586993,0.247649,0.413007,0.325876
oracle_shuffled_kappa_0_25_seed_2,shuffled_oracle_probability,0.25,2.0,shuffled,319,0.743059,0.905082,0.212671,36.880467,0.240832,1.741822,2.241266,-0.116909,0.586643,0.250784,0.413357,0.325449
oracle_shuffled_kappa_0_25_seed_3,shuffled_oracle_probability,0.25,3.0,shuffled,319,0.746194,0.905356,0.212671,36.887323,0.24059,1.740188,2.238607,-0.116913,0.586771,0.257053,0.413229,0.325676
oracle_shuffled_kappa_0_25_seed_4,shuffled_oracle_probability,0.25,4.0,shuffled,319,0.751836,0.904617,0.212671,36.868853,0.24148,1.742699,2.243023,-0.116913,0.585916,0.247649,0.414084,0.320111
oracle_ordered_kappa_0_5,ordered_oracle_probability,0.5,,ordered,319,0.206319,0.808162,0.199043,34.184906,0.244166,1.750726,2.256608,-0.116909,0.583633,0.241379,0.416367,0.307879
oracle_shuffled_kappa_0_5_seed_0,shuffled_oracle_probability,0.5,0.0,shuffled,319,0.780614,0.817828,0.199043,34.426569,0.243317,1.749321,2.254489,-0.116939,0.58438,0.23511,0.41562,0.315737
oracle_shuffled_kappa_0_5_seed_1,shuffled_oracle_probability,0.5,1.0,shuffled,319,0.770583,0.818487,0.199043,34.443035,0.242893,1.746411,2.249595,-0.116938,0.584532,0.23511,0.415468,0.312982
oracle_shuffled_kappa_0_5_seed_2,shuffled_oracle_probability,0.5,2.0,shuffled,319,0.747072,0.817517,0.199043,34.418795,0.242669,1.745059,2.247183,-0.116939,0.584881,0.244514,0.415119,0.311272
oracle_shuffled_kappa_0_5_seed_3,shuffled_oracle_probability,0.5,3.0,shuffled,319,0.73516,0.816251,0.199043,34.387142,0.243978,1.749757,2.255323,-0.116964,0.583637,0.22884,0.416363,0.3087
oracle_shuffled_kappa_0_5_seed_4,shuffled_oracle_probability,0.5,4.0,shuffled,319,0.758357,0.816255,0.199043,34.387231,0.241718,1.743027,2.243526,-0.116954,0.585666,0.238245,0.414334,0.31635
oracle_ordered_kappa_0_75,ordered_oracle_probability,0.75,,ordered,319,0.05158,0.63064,0.185415,29.474308,0.250664,1.768897,2.287379,-0.116913,0.577857,0.22884,0.422143,0.275902
oracle_shuffled_kappa_0_75_seed_0,shuffled_oracle_probability,0.75,0.0,shuffled,319,0.88716,0.648767,0.185415,29.927461,0.246456,1.756581,2.267353,-0.117004,0.581296,0.210031,0.418704,0.298719
oracle_shuffled_kappa_0_75_seed_1,shuffled_oracle_probability,0.75,1.0,shuffled,319,0.895624,0.643762,0.185415,29.802353,0.24603,1.753576,2.261505,-0.116983,0.581713,0.213166,0.418287,0.290321
oracle_shuffled_kappa_0_75_seed_2,shuffled_oracle_probability,0.75,2.0,shuffled,319,0.899856,0.652353,0.185415,30.017131,0.250258,1.767449,2.285394,-0.116915,0.578106,0.231975,0.421894,0.280942
oracle_shuffled_kappa_0_75_seed_3,shuffled_oracle_probability,0.75,3.0,shuffled,319,0.899385,0.649116,0.185415,29.936194,0.248708,1.75995,2.272689,-0.116968,0.579212,0.219436,0.420788,0.282028
oracle_shuffled_kappa_0_75_seed_4,shuffled_oracle_probability,0.75,4.0,shuffled,319,0.886219,0.647972,0.185415,29.907589,0.245848,1.753356,2.260664,-0.116916,0.581921,0.231975,0.418079,0.291683
oracle_ordered_kappa_1_0,ordered_oracle_probability,1.0,,ordered,319,0.0,0.296264,0.171787,20.842342,0.262492,1.799444,2.33918,-0.11694,0.567356,0.216301,0.432644,0.216137
oracle_shuffled_kappa_1_0_seed_0,shuffled_oracle_probability,1.0,0.0,shuffled,319,1.1279,0.32363,0.171787,21.526486,0.255708,1.775323,2.299217,-0.117195,0.572204,0.147335,0.427796,0.233157
oracle_shuffled_kappa_1_0_seed_1,shuffled_oracle_probability,1.0,1.0,shuffled,319,1.122884,0.327199,0.171787,21.615722,0.257727,1.785086,2.314944,-0.11708,0.571077,0.153605,0.428923,0.22596
oracle_shuffled_kappa_1_0_seed_2,shuffled_oracle_probability,1.0,2.0,shuffled,319,1.110972,0.32244,0.171787,21.496741,0.259123,1.790594,2.324022,-0.117051,0.569738,0.166144,0.430262,0.222717
oracle_shuffled_kappa_1_0_seed_3,shuffled_oracle_probability,1.0,3.0,shuffled,319,1.117241,0.334338,0.171787,21.794195,0.258972,1.786946,2.318848,-0.117081,0.569852,0.15674,0.430148,0.220522
oracle_shuffled_kappa_1_0_seed_4,shuffled_oracle_probability,1.0,4.0,shuffled,319,1.095925,0.333149,0.171787,21.764449,0.257119,1.783768,2.313177,-0.117014,0.571647,0.197492,0.428353,0.232993
