lambda,calibration_avg_cash,dynamic_calibration_avg_cash,cash_match_abs_error,calibration_total_return,calibration_sharpe,calibration_sortino,calibration_max_drawdown
21.0,0.6,0.6,0.0,0.13297,1.691092,1.902201,-0.088597
22.0,0.6,0.6,0.0,0.132969,1.691125,1.902247,-0.088594
23.0,0.6,0.6,0.0,0.132969,1.691159,1.902293,-0.088592
24.0,0.6,0.6,0.0,0.132968,1.691192,1.902339,-0.08859
25.0,0.6,0.6,0.0,0.132967,1.691226,1.902385,-0.088588
26.0,0.6,0.6,0.0,0.132966,1.691259,1.902431,-0.088585
27.0,0.6,0.6,0.0,0.132965,1.691292,1.902477,-0.088583
28.0,0.6,0.6,0.0,0.132964,1.691325,1.902522,-0.088581
29.0,0.6,0.6,0.0,0.132963,1.691358,1.902568,-0.088578
30.0,0.6,0.6,0.0,0.132962,1.691391,1.902613,-0.088576
31.0,0.6,0.6,0.0,0.132961,1.691424,1.902658,-0.088574
32.0,0.6,0.6,0.0,0.13296,1.691456,1.902703,-0.088572
33.0,0.6,0.6,0.0,0.132959,1.691489,1.902748,-0.088569
34.0,0.6,0.6,0.0,0.132959,1.691522,1.902793,-0.088567
35.0,0.6,0.6,0.0,0.132958,1.691554,1.902838,-0.088565
36.0,0.6,0.6,0.0,0.132957,1.691587,1.902883,-0.088562
37.0,0.6,0.6,0.0,0.132956,1.691619,1.902928,-0.08856
38.0,0.6,0.6,0.0,0.132955,1.691652,1.902972,-0.088558
39.0,0.6,0.6,0.0,0.132954,1.691684,1.903017,-0.088556
40.0,0.6,0.6,0.0,0.132953,1.691717,1.903062,-0.088553
41.0,0.6,0.6,0.0,0.132952,1.691749,1.903107,-0.088551
42.0,0.6,0.6,0.0,0.132951,1.691782,1.903152,-0.088549
43.0,0.6,0.6,0.0,0.13295,1.691814,1.903196,-0.088546
44.0,0.6,0.6,0.0,0.132949,1.691847,1.903241,-0.088544
45.0,0.6,0.6,0.0,0.132948,1.691879,1.903286,-0.088542
46.0,0.6,0.6,0.0,0.132947,1.691912,1.903331,-0.08854
47.0,0.6,0.6,0.0,0.132946,1.691944,1.903375,-0.088537
48.0,0.6,0.6,0.0,0.132945,1.691977,1.90342,-0.088535
49.0,0.6,0.6,0.0,0.132944,1.692009,1.903465,-0.088533
50.0,0.6,0.6,0.0,0.132943,1.692042,1.903509,-0.088531
51.0,0.6,0.6,0.0,0.132942,1.692074,1.903554,-0.088528
52.0,0.6,0.6,0.0,0.132942,1.692106,1.903599,-0.088526
53.0,0.6,0.6,0.0,0.132941,1.692139,1.903643,-0.088524
54.0,0.6,0.6,0.0,0.13294,1.692171,1.908495,-0.088521
55.0,0.6,0.6,0.0,0.132939,1.692204,1.908541,-0.088519
56.0,0.6,0.6,0.0,0.132938,1.692236,1.908586,-0.088517
57.0,0.6,0.6,0.0,0.132937,1.692268,1.908631,-0.088515
58.0,0.6,0.6,0.0,0.132936,1.692301,1.908677,-0.088512
59.0,0.6,0.6,0.0,0.132935,1.692333,1.908722,-0.08851
60.0,0.6,0.6,0.0,0.132934,1.692365,1.908767,-0.088508
61.0,0.6,0.6,0.0,0.132933,1.692398,1.908813,-0.088506
62.0,0.6,0.6,0.0,0.132932,1.69243,1.908858,-0.088503
63.0,0.6,0.6,0.0,0.132931,1.692462,1.908903,-0.088501
64.0,0.6,0.6,0.0,0.13293,1.692495,1.908948,-0.088499
65.0,0.6,0.6,0.0,0.132929,1.692527,1.908994,-0.088496
66.0,0.6,0.6,0.0,0.132928,1.692559,1.909039,-0.088494
67.0,0.6,0.6,0.0,0.132927,1.692592,1.909084,-0.088492
68.0,0.6,0.6,0.0,0.132926,1.692624,1.909129,-0.08849
69.0,0.6,0.6,0.0,0.132925,1.692656,1.909174,-0.088487
70.0,0.6,0.6,0.0,0.132924,1.692688,1.909219,-0.088485
71.0,0.6,0.6,0.0,0.132924,1.692721,1.909264,-0.088483
72.0,0.6,0.6,0.0,0.132923,1.692753,1.90931,-0.088481
73.0,0.6,0.6,0.0,0.132922,1.692785,1.909355,-0.088478
74.0,0.6,0.6,0.0,0.132921,1.692817,1.9094,-0.088476
75.0,0.6,0.6,0.0,0.13292,1.69285,1.909445,-0.088474
76.0,0.6,0.6,0.0,0.132919,1.692882,1.90949,-0.088472
77.0,0.6,0.6,0.0,0.132918,1.692914,1.909535,-0.088469
78.0,0.6,0.6,0.0,0.132917,1.692946,1.90958,-0.088467
79.0,0.6,0.6,0.0,0.132916,1.692978,1.909625,-0.088465
80.0,0.6,0.6,0.0,0.132915,1.693011,1.90967,-0.088462
81.0,0.6,0.6,0.0,0.132914,1.693043,1.909715,-0.08846
82.0,0.6,0.6,0.0,0.132913,1.693075,1.909759,-0.088458
83.0,0.6,0.6,0.0,0.132912,1.693107,1.909804,-0.088456
84.0,0.6,0.6,0.0,0.132911,1.693139,1.909849,-0.088453
85.0,0.6,0.6,0.0,0.13291,1.693171,1.909894,-0.088451
86.0,0.6,0.6,0.0,0.132909,1.693203,1.909939,-0.088449
87.0,0.6,0.6,0.0,0.132908,1.693236,1.909984,-0.088447
88.0,0.6,0.6,0.0,0.132907,1.693268,1.910029,-0.088444
89.0,0.6,0.6,0.0,0.132906,1.6933,1.910073,-0.088442
90.0,0.6,0.6,0.0,0.132906,1.693332,1.910118,-0.08844
91.0,0.6,0.6,0.0,0.132905,1.693364,1.910163,-0.088438
92.0,0.6,0.6,0.0,0.132904,1.693396,1.910208,-0.088435
93.0,0.6,0.6,0.0,0.132903,1.693428,1.910252,-0.088433
94.0,0.6,0.6,0.0,0.132902,1.69346,1.910297,-0.088431
95.0,0.6,0.6,0.0,0.132901,1.693492,1.910342,-0.088429
96.0,0.6,0.6,0.0,0.1329,1.693524,1.910387,-0.088426
97.0,0.6,0.6,0.0,0.132899,1.693556,1.910431,-0.088424
98.0,0.6,0.6,0.0,0.132898,1.693588,1.910476,-0.088422
99.0,0.6,0.6,0.0,0.132897,1.69362,1.91052,-0.08842
100.0,0.6,0.6,0.0,0.132896,1.693652,1.910565,-0.088417
20.0,0.599999,0.6,1e-06,0.132971,1.691054,1.90215,-0.088599
19.0,0.599988,0.6,1.2e-05,0.132972,1.690972,1.902044,-0.088601
18.0,0.599978,0.6,2.2e-05,0.132973,1.690891,1.901939,-0.088604
17.0,0.599958,0.6,4.2e-05,0.13298,1.690861,1.901904,-0.088606
16.0,0.599919,0.6,8.1e-05,0.132999,1.690944,1.902024,-0.088608
15.0,0.599875,0.6,0.000125,0.133022,1.691066,1.902202,-0.088611
14.0,0.599796,0.6,0.000204,0.133083,1.691516,1.902863,-0.088613
13.0,0.599691,0.6,0.000309,0.133138,1.691756,1.903284,-0.088638
12.0,0.599516,0.6,0.000484,0.133198,1.691763,1.903484,-0.088705
11.0,0.599272,0.6,0.000728,0.133269,1.691227,1.902679,-0.088823
10.0,0.598971,0.6,0.001029,0.133339,1.690009,1.900626,-0.088996
9.0,0.598669,0.6,0.001331,0.133408,1.688778,1.898558,-0.08917
8.0,0.598296,0.6,0.001704,0.133507,1.687627,1.896561,-0.089344
7.0,0.597855,0.6,0.002145,0.133633,1.686538,1.894616,-0.089518
6.0,0.597315,0.6,0.002685,0.133781,1.685448,1.892834,-0.089694
5.0,0.596558,0.6,0.003442,0.133949,1.684176,1.891146,-0.08987
4.0,0.595726,0.6,0.004274,0.134091,1.682484,1.889088,-0.090046
3.0,0.594891,0.6,0.005109,0.134234,1.68079,1.887025,-0.090223
2.0,0.594053,0.6,0.005947,0.134376,1.679086,1.884954,-0.090401
1.0,0.593211,0.6,0.006789,0.134516,1.677342,1.882842,-0.090578
0.0,0.592365,0.6,0.007635,0.134653,1.675563,1.880692,-0.090757
