strategy_control,input_source,cash_return_scenario,annual_cash_return,annual_risk_free_rate,n_days,avg_cash_weight,total_return,annual_return,max_drawdown,sharpe_zero_rf,sharpe_nonzero_rf,sortino_zero_rf,sortino_nonzero_rf,calmar
Original dynamic AURORA,Notebook18 returns and weights,zero_cash_return,0.0,0.0,319,0.5565162732224096,0.2422839849842342,0.18694760018554168,-0.1189567177257077,1.6988165644377344,1.6988165644377344,2.242180945726757,2.242180945726757,1.5715598392400876
Original dynamic AURORA,Notebook18 returns and weights,low_cash_yield_1pct,0.01,0.01,319,0.5565162732224096,0.25101715691905624,0.19353437319143585,-0.11781042717042478,1.7520252335106759,1.6564381186636434,2.312079553898026,2.185936956390409,1.642760983384507
Original dynamic AURORA,Notebook18 returns and weights,mid_cash_yield_1p5pct,0.015,0.015,319,0.5565162732224096,0.25537419227397984,0.1968169429059239,-0.11724097040744641,1.7784329565817065,1.6354047027014091,2.3467629021509913,2.158027420769186,1.6787386032538614
Original dynamic AURORA,Notebook18 returns and weights,higher_cash_yield_2pct,0.02,0.02,319,0.5565162732224096,0.2597249148437675,0.2000923698032162,-0.11667394253494912,1.8047113029981499,1.614473816149235,2.381271267025146,2.130257677986379,1.7149705020320154
Ex post constant-lambda AURORA,Notebook18 returns and weights,zero_cash_return,0.0,0.0,319,0.5564982742007926,0.2425156662256629,0.1871224651824066,-0.11894861443734706,1.6999209896909573,1.6999209896909573,2.2439836773178206,2.2439836773178206,1.5731369891741638
Ex post constant-lambda AURORA,Notebook18 returns and weights,low_cash_yield_1pct,0.01,0.01,319,0.5564982742007926,0.2512501792515227,0.19370999181676085,-0.11780208369516121,1.7531176595278628,1.6575491950054666,2.3138765111567614,2.187739155763716,1.6443681278000823
Ex post constant-lambda AURORA,Notebook18 returns and weights,mid_cash_yield_1p5pct,0.015,0.015,319,0.5564982742007926,0.2556078829290078,0.19699293665652662,-0.1172325075022902,1.7795194282506142,1.6365190773314187,2.3485569839264437,2.159829360320015,1.680361026592204
Ex post constant-lambda AURORA,Notebook18 returns and weights,higher_cash_yield_2pct,0.02,0.02,319,0.5564982742007926,0.25995927235294647,0.2002687375646499,-0.11666536063726596,1.8057918500715289,1.6155914711692603,2.3830624809910947,2.1320593618805876,1.716608395763008
Ex post no-probability constant-lambda AURORA,Notebook18 returns and weights,zero_cash_return,0.0,0.0,319,0.5564996267553532,0.24249176254124438,0.18710442382408732,-0.11894488873249986,1.6998215116502053,1.6998215116502053,2.2438533665389007,2.2438533665389007,1.5730345861676687
Ex post no-probability constant-lambda AURORA,Notebook18 returns and weights,low_cash_yield_1pct,0.01,0.01,319,0.5564996267553532,0.2512261293786915,0.19369186680925776,-0.11779834547798973,1.7530198664163994,1.6574486115158948,2.3137484451935633,2.1876073519478383,1.6442664455372042
Ex post no-probability constant-lambda AURORA,Notebook18 returns and weights,mid_cash_yield_1p5pct,0.015,0.015,319,0.5564996267553532,0.25558376017867057,0.19697476999561125,-0.11722876306556929,1.7794224714839655,1.636417945137021,2.348430031331608,2.1596968161050727,1.6802597318666395
Ex post no-probability constant-lambda AURORA,Notebook18 returns and weights,higher_cash_yield_2pct,0.02,0.02,319,0.5564996267553532,0.25993507686827355,0.20025052936330057,-0.1166616100051181,1.8056957256215245,1.615489792915857,2.3829366358182487,2.1319260812917897,1.716507507092653
