date,horizon,fold_id,fold_number,split,split_priority,number_of_eligible_predictions,has_multiple_eligible_predictions,deduplication_rule,model_name,model_family,target_col,run_id,proba_class_0,proba_class_1,proba_class_2,proba_class_3,proba_class_4,in_aligned_evaluation_window,source_probability_file,target_col_from_input_index
2023-12-14,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.03749509046619696,0.21171295184263722,0.4789084024976334,0.264303453918962,0.007580101274570343,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2023-12-15,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.04615226192671379,0.23046222876989642,0.45793503877359887,0.2607632038596572,0.004687266670133793,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2023-12-18,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.029283397061956196,0.2555761054610926,0.4748900187036993,0.2349687716452848,0.005281707127967161,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2023-12-19,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.017046518252428047,0.25644523557176746,0.506754937307892,0.21620111207119008,0.0035521967967224385,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2023-12-20,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.025995053913330728,0.23107211261169483,0.5101317491978105,0.22694253221877617,0.00585855205838786,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2023-12-21,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.02141745897368571,0.2665010923235787,0.46837582511005726,0.23688557758867101,0.006820046004007383,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2023-12-22,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.026988980064897743,0.24821994220717294,0.4846463623964598,0.2326563403909741,0.00748837494049547,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2023-12-25,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.02722592152182771,0.23990367281432745,0.49590795243598706,0.23345373995405014,0.0035087132738077236,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2023-12-26,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.0319988839778799,0.2480947183181258,0.4962057898156262,0.2198256661867978,0.0038749417015703823,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2023-12-27,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.03380783788551308,0.24249782440142642,0.49434416472225307,0.22306178702563367,0.006288385965173717,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2023-12-28,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.03925496637619388,0.24466380785984146,0.4942052766683901,0.21596752956667245,0.005908419528902193,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2023-12-29,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.021768296368812834,0.2682540404468394,0.4885156598194259,0.21578414494300455,0.005677858421917349,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-02,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.021304370598832396,0.2547277637742556,0.5023411524092716,0.21667141956706246,0.004955293650577997,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-03,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.015567323166476282,0.25497872093465007,0.47723385161432674,0.24800175495909163,0.004218349325455325,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-04,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.017169985116444797,0.21736792426444787,0.4518176957769896,0.30232244916575435,0.011321945676363373,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-05,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.020009553721851515,0.19954193774966078,0.3799324671193553,0.3890196082394449,0.011496433169687336,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-08,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.015889769071068545,0.20057366491513667,0.3971089104896313,0.3757341459496271,0.010693509574536367,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-09,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.029673438939348117,0.1922856074555469,0.43955048552782305,0.32169670352216795,0.016793764555113905,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-10,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.015148761280844952,0.19838342849102575,0.43807927810676084,0.34035366333574585,0.008034868785622602,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-11,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.021724207871383842,0.18821298890315377,0.4429669296912544,0.33927820661075503,0.007817666923452954,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-12,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.02629564354633907,0.19745566398489892,0.45814891537445324,0.3117711973847542,0.006328579709554716,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-15,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.02192724038508642,0.18757975321603942,0.4520336125483306,0.3318288561138705,0.00663053773667312,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-16,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.02250560537158041,0.18876229034283862,0.44802892843294617,0.3338603698824238,0.006842805970210997,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-17,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.02269663888957291,0.17452443135400464,0.43644952270715076,0.35663594230197665,0.009693464747295044,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-18,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.027662644813448375,0.1642483541836008,0.43214887053246437,0.35525672744191217,0.020683403028574413,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
